"","Especies","Uno","Key1","Dos","Key2"
"83","Diodon holocanthus","Presencia ausencia de Diodon holocanthus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Diodon holocanthus","Diversidad Funcional de Diodon holocanthus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Diodon holocanthus"
"84","Diodon hystrix","Presencia ausencia de Diodon hystrix en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Diodon hystrix","Diversidad Funcional de Diodon hystrix en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Diodon hystrix"
"85","Remora albescens","Presencia ausencia de Remora albescens en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Remora albescens","Diversidad Funcional de Remora albescens en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Remora albescens"
"86","Elops affinis","Presencia ausencia de Elops affinis en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Elops affinis","Diversidad Funcional de Elops affinis en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Elops affinis"
"87","Zalembius rosaceus","Presencia ausencia de Zalembius rosaceus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Zalembius rosaceus","Diversidad Funcional de Zalembius rosaceus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Zalembius rosaceus"
"88","Chaetodipterus zonatus","Presencia ausencia de Chaetodipterus zonatus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Chaetodipterus zonatus","Diversidad Funcional de Chaetodipterus zonatus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Chaetodipterus zonatus"
"89","Fistularia commersonii","Presencia ausencia de Fistularia commersonii en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Fistularia commersonii","Diversidad Funcional de Fistularia commersonii en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Fistularia commersonii"
"90","Gerres cinereus","Presencia ausencia de Gerres cinereus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Gerres cinereus","Diversidad Funcional de Gerres cinereus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Gerres cinereus"
"91","Arcos erythrops","Presencia ausencia de Arcos erythrops en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Arcos erythrops","Diversidad Funcional de Arcos erythrops en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Arcos erythrops"
"92","Tomicodon boehlkei","Presencia ausencia de Tomicodon boehlkei en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Tomicodon boehlkei","Diversidad Funcional de Tomicodon boehlkei en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Tomicodon boehlkei"
"93","Tomicodon humeralis","Presencia ausencia de Tomicodon humeralis en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Tomicodon humeralis","Diversidad Funcional de Tomicodon humeralis en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Tomicodon humeralis"
"94","Tomicodon myersi","Presencia ausencia de Tomicodon myersi en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Tomicodon myersi","Diversidad Funcional de Tomicodon myersi en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Tomicodon myersi"
"95","Gobiesox adustus","Presencia ausencia de Gobiesox adustus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Gobiesox adustus","Diversidad Funcional de Gobiesox adustus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Gobiesox adustus"
"96","Gobiesox papillifer","Presencia ausencia de Gobiesox papillifer en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Gobiesox papillifer","Diversidad Funcional de Gobiesox papillifer en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Gobiesox papillifer"
"97","Gobiesox pinniger","Presencia ausencia de Gobiesox pinniger en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Gobiesox pinniger","Diversidad Funcional de Gobiesox pinniger en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Gobiesox pinniger"
"98","Gobiesox schultzi","Presencia ausencia de Gobiesox schultzi en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Gobiesox schultzi","Diversidad Funcional de Gobiesox schultzi en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Gobiesox schultzi"
"99","Pherallodiscus funebris","Presencia ausencia de Pherallodiscus funebris en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Pherallodiscus funebris","Diversidad Funcional de Pherallodiscus funebris en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Pherallodiscus funebris"
"100","Tomicodon eos","Presencia ausencia de Tomicodon eos en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Tomicodon eos","Diversidad Funcional de Tomicodon eos en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Tomicodon eos"
"101","Tomicodon zebra","Presencia ausencia de Tomicodon zebra en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Tomicodon zebra","Diversidad Funcional de Tomicodon zebra en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Tomicodon zebra"
"102","Aruma histrio","Presencia ausencia de Aruma histrio en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Aruma histrio","Diversidad Funcional de Aruma histrio en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Aruma histrio"
"103","Barbulifer pantherinus","Presencia ausencia de Barbulifer pantherinus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Barbulifer pantherinus","Diversidad Funcional de Barbulifer pantherinus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Barbulifer pantherinus"
"104","Bathygobius ramosus","Presencia ausencia de Bathygobius ramosus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Bathygobius ramosus","Diversidad Funcional de Bathygobius ramosus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Bathygobius ramosus"
"105","Chriolepis cuneata","Presencia ausencia de Chriolepis cuneata en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Chriolepis cuneata","Diversidad Funcional de Chriolepis cuneata en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Chriolepis cuneata"
"106","Chriolepis minutillus","Presencia ausencia de Chriolepis minutillus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Chriolepis minutillus","Diversidad Funcional de Chriolepis minutillus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Chriolepis minutillus"
"107","Chriolepis zebra","Presencia ausencia de Chriolepis zebra en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Chriolepis zebra","Diversidad Funcional de Chriolepis zebra en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Chriolepis zebra"
"108","Coryphopterus urospilus","Presencia ausencia de Coryphopterus urospilus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Coryphopterus urospilus","Diversidad Funcional de Coryphopterus urospilus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Coryphopterus urospilus"
"109","Tigrigobius digueti","Presencia ausencia de Tigrigobius digueti en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Tigrigobius digueti","Diversidad Funcional de Tigrigobius digueti en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Tigrigobius digueti"
"110","Tigrigobius limbaughi","Presencia ausencia de Tigrigobius limbaughi en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Tigrigobius limbaughi","Diversidad Funcional de Tigrigobius limbaughi en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Tigrigobius limbaughi"
"111","Elacatinus punticulatus","Presencia ausencia de Elacatinus punticulatus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Elacatinus punticulatus","Diversidad Funcional de Elacatinus punticulatus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Elacatinus punticulatus"
"112","Gobiosoma chiqita","Presencia ausencia de Gobiosoma chiqita en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Gobiosoma chiqita","Diversidad Funcional de Gobiosoma chiqita en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Gobiosoma chiqita"
"113","Gobiosoma paradoxum","Presencia ausencia de Gobiosoma paradoxum en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Gobiosoma paradoxum","Diversidad Funcional de Gobiosoma paradoxum en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Gobiosoma paradoxum"
"114","Gobiosoma nudum","Presencia ausencia de Gobiosoma nudum en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Gobiosoma nudum","Diversidad Funcional de Gobiosoma nudum en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Gobiosoma nudum"
"115","Gobulus crescentalis","Presencia ausencia de Gobulus crescentalis en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Gobulus crescentalis","Diversidad Funcional de Gobulus crescentalis en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Gobulus crescentalis"
"116","Gobulus hancocki","Presencia ausencia de Gobulus hancocki en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Gobulus hancocki","Diversidad Funcional de Gobulus hancocki en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Gobulus hancocki"
"117","Gymneleotris seminuda","Presencia ausencia de Gymneleotris seminuda en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Gymneleotris seminuda","Diversidad Funcional de Gymneleotris seminuda en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Gymneleotris seminuda"
"118","Lythrypnus dalli","Presencia ausencia de Lythrypnus dalli en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Lythrypnus dalli","Diversidad Funcional de Lythrypnus dalli en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Lythrypnus dalli"
"119","Lythrypnus pulchellus","Presencia ausencia de Lythrypnus pulchellus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Lythrypnus pulchellus","Diversidad Funcional de Lythrypnus pulchellus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Lythrypnus pulchellus"
"120","Pycnomma semisquamatum","Presencia ausencia de Pycnomma semisquamatum en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Pycnomma semisquamatum","Diversidad Funcional de Pycnomma semisquamatum en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Pycnomma semisquamatum"
"121","Anisotremus davidsonii","Presencia ausencia de Anisotremus davidsonii en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Anisotremus davidsonii","Diversidad Funcional de Anisotremus davidsonii en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Anisotremus davidsonii"
"122","Anisotremus interruptus","Presencia ausencia de Anisotremus interruptus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Anisotremus interruptus","Diversidad Funcional de Anisotremus interruptus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Anisotremus interruptus"
"123","Anisotremus taeniatus","Presencia ausencia de Anisotremus taeniatus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Anisotremus taeniatus","Diversidad Funcional de Anisotremus taeniatus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Anisotremus taeniatus"
"124","Haemulon flaviguttatum","Presencia ausencia de Haemulon flaviguttatum en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Haemulon flaviguttatum","Diversidad Funcional de Haemulon flaviguttatum en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Haemulon flaviguttatum"
"125","Haemulon maculicauda","Presencia ausencia de Haemulon maculicauda en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Haemulon maculicauda","Diversidad Funcional de Haemulon maculicauda en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Haemulon maculicauda"
"126","Haemulon scudderii","Presencia ausencia de Haemulon scudderii en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Haemulon scudderii","Diversidad Funcional de Haemulon scudderii en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Haemulon scudderii"
"127","Haemulon sexfasciatum","Presencia ausencia de Haemulon sexfasciatum en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Haemulon sexfasciatum","Diversidad Funcional de Haemulon sexfasciatum en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Haemulon sexfasciatum"
"128","Haemulon steindachneri","Presencia ausencia de Haemulon steindachneri en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Haemulon steindachneri","Diversidad Funcional de Haemulon steindachneri en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Haemulon steindachneri"
"129","Haemulon californiensis","Presencia ausencia de Haemulon californiensis en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Haemulon californiensis","Diversidad Funcional de Haemulon californiensis en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Haemulon californiensis"
"130","Microlepidotus brevipinnis","Presencia ausencia de Microlepidotus brevipinnis en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Microlepidotus brevipinnis","Diversidad Funcional de Microlepidotus brevipinnis en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Microlepidotus brevipinnis"
"131","Microlepidotus inornatus","Presencia ausencia de Microlepidotus inornatus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Microlepidotus inornatus","Diversidad Funcional de Microlepidotus inornatus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Microlepidotus inornatus"
"132","Orthopristis chalceus","Presencia ausencia de Orthopristis chalceus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Orthopristis chalceus","Diversidad Funcional de Orthopristis chalceus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Orthopristis chalceus"
"133","Orthopristis cantharinus","Presencia ausencia de Orthopristis cantharinus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Orthopristis cantharinus","Diversidad Funcional de Orthopristis cantharinus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Orthopristis cantharinus"
"134","Pomadasys panamensis","Presencia ausencia de Pomadasys panamensis en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Pomadasys panamensis","Diversidad Funcional de Pomadasys panamensis en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Pomadasys panamensis"
"135","Hyporhamphus unifasciatus","Presencia ausencia de Hyporhamphus unifasciatus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Hyporhamphus unifasciatus","Diversidad Funcional de Hyporhamphus unifasciatus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Hyporhamphus unifasciatus"
"136","Myripristis leiognathus","Presencia ausencia de Myripristis leiognathus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Myripristis leiognathus","Diversidad Funcional de Myripristis leiognathus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Myripristis leiognathus"
"137","Sargocentron suborbitalis","Presencia ausencia de Sargocentron suborbitalis en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Sargocentron suborbitalis","Diversidad Funcional de Sargocentron suborbitalis en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Sargocentron suborbitalis"
"138","Girella simplicidens","Presencia ausencia de Girella simplicidens en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Girella simplicidens","Diversidad Funcional de Girella simplicidens en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Girella simplicidens"
"139","Girella nigricans","Presencia ausencia de Girella nigricans en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Girella nigricans","Diversidad Funcional de Girella nigricans en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Girella nigricans"
"140","Kyphosus azureus","Presencia ausencia de Kyphosus azureus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Kyphosus azureus","Diversidad Funcional de Kyphosus azureus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Kyphosus azureus"
"141","Kyphosus analogus","Presencia ausencia de Kyphosus analogus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Kyphosus analogus","Diversidad Funcional de Kyphosus analogus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Kyphosus analogus"
"142","Kyphosus elegans","Presencia ausencia de Kyphosus elegans en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Kyphosus elegans","Diversidad Funcional de Kyphosus elegans en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Kyphosus elegans"
"143","Kyphosus ocyurus","Presencia ausencia de Kyphosus ocyurus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Kyphosus ocyurus","Diversidad Funcional de Kyphosus ocyurus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Kyphosus ocyurus"
"144","Bodianus diplotaenia","Presencia ausencia de Bodianus diplotaenia en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Bodianus diplotaenia","Diversidad Funcional de Bodianus diplotaenia en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Bodianus diplotaenia"
"145","Decodon melasma","Presencia ausencia de Decodon melasma en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Decodon melasma","Diversidad Funcional de Decodon melasma en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Decodon melasma"
"146","Halichoeres chierchiae","Presencia ausencia de Halichoeres chierchiae en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Halichoeres chierchiae","Diversidad Funcional de Halichoeres chierchiae en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Halichoeres chierchiae"
"147","Halichoeres dispilus","Presencia ausencia de Halichoeres dispilus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Halichoeres dispilus","Diversidad Funcional de Halichoeres dispilus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Halichoeres dispilus"
"148","Halichoeres melanotis","Presencia ausencia de Halichoeres melanotis en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Halichoeres melanotis","Diversidad Funcional de Halichoeres melanotis en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Halichoeres melanotis"
"149","Halichoeres nicholsi","Presencia ausencia de Halichoeres nicholsi en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Halichoeres nicholsi","Diversidad Funcional de Halichoeres nicholsi en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Halichoeres nicholsi"
"150","Halichoeres notospilus","Presencia ausencia de Halichoeres notospilus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Halichoeres notospilus","Diversidad Funcional de Halichoeres notospilus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Halichoeres notospilus"
"151","Halichoeres semicinctus","Presencia ausencia de Halichoeres semicinctus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Halichoeres semicinctus","Diversidad Funcional de Halichoeres semicinctus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Halichoeres semicinctus"
"152","Novaculichthys taeniourus","Presencia ausencia de Novaculichthys taeniourus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Novaculichthys taeniourus","Diversidad Funcional de Novaculichthys taeniourus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Novaculichthys taeniourus"
"153","Semicossyphus pulcher","Presencia ausencia de Semicossyphus pulcher en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Semicossyphus pulcher","Diversidad Funcional de Semicossyphus pulcher en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Semicossyphus pulcher"
"154","Stethojulis bandanensis","Presencia ausencia de Stethojulis bandanensis en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Stethojulis bandanensis","Diversidad Funcional de Stethojulis bandanensis en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Stethojulis bandanensis"
"155","Thalassoma grammaticum","Presencia ausencia de Thalassoma grammaticum en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Thalassoma grammaticum","Diversidad Funcional de Thalassoma grammaticum en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Thalassoma grammaticum"
"156","Thalassoma lucasanum","Presencia ausencia de Thalassoma lucasanum en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Thalassoma lucasanum","Diversidad Funcional de Thalassoma lucasanum en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Thalassoma lucasanum"
"157","Iniistius pavo","Presencia ausencia de Iniistius pavo en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Iniistius pavo","Diversidad Funcional de Iniistius pavo en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Iniistius pavo"
"158","Cryptotrema seftoni","Presencia ausencia de Cryptotrema seftoni en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Cryptotrema seftoni","Diversidad Funcional de Cryptotrema seftoni en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Cryptotrema seftoni"
"159","Exerpes asper","Presencia ausencia de Exerpes asper en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Exerpes asper","Diversidad Funcional de Exerpes asper en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Exerpes asper"
"160","Labrisomus multiporosus","Presencia ausencia de Labrisomus multiporosus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Labrisomus multiporosus","Diversidad Funcional de Labrisomus multiporosus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Labrisomus multiporosus"
"161","Labrisomus striatus","Presencia ausencia de Labrisomus striatus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Labrisomus striatus","Diversidad Funcional de Labrisomus striatus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Labrisomus striatus"
"162","Labrisomus xanti","Presencia ausencia de Labrisomus xanti en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Labrisomus xanti","Diversidad Funcional de Labrisomus xanti en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Labrisomus xanti"
"163","Malacoctenus ebisui","Presencia ausencia de Malacoctenus ebisui en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Malacoctenus ebisui","Diversidad Funcional de Malacoctenus ebisui en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Malacoctenus ebisui"
"164","Malacoctenus margaritae","Presencia ausencia de Malacoctenus margaritae en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Malacoctenus margaritae","Diversidad Funcional de Malacoctenus margaritae en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Malacoctenus margaritae"
"165","Malacoctenus gigas","Presencia ausencia de Malacoctenus gigas en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Malacoctenus gigas","Diversidad Funcional de Malacoctenus gigas en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Malacoctenus gigas"
"166","Malacoctenus hubbsi","Presencia ausencia de Malacoctenus hubbsi en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Malacoctenus hubbsi","Diversidad Funcional de Malacoctenus hubbsi en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Malacoctenus hubbsi"
