"","X1","X2","X3","X4","Comun","Sci1","Sci2","Sci3","Sci4"
"167","Manta","doblada","Mobula","thurstoni","Manta doblada","Mobula thurstoni","Manta doblada","doblada Mobula","Manta doblada"
"168","Lija","garrapatera;bota trompa","Aluterus","scriptus","Lija garrapatera;bota trompa","Aluterus scriptus","Lija garrapatera;bota trompa","garrapatera;bota trompa Aluterus","Lija garrapatera;bota trompa"
"169","Lisa","rayada;lisa cabezona","Mugil","cephalus","Lisa rayada;lisa cabezona","Mugil cephalus","Lisa rayada;lisa cabezona","rayada;lisa cabezona Mugil","Lisa rayada;lisa cabezona"
"170","Lisa","blanca;liseta;lebrancha","Mugil","curema","Lisa blanca;liseta;lebrancha","Mugil curema","Lisa blanca;liseta;lebrancha","blanca;liseta;lebrancha Mugil","Lisa blanca;liseta;lebrancha"
"171","Lisa","hospe","Mugil","hospes","Lisa hospe","Mugil hospes","Lisa hospe","hospe Mugil","Lisa hospe"
"172","Chivo","amarillo","Mulloidichthys","dentatus","Chivo amarillo","Mulloidichthys dentatus","Chivo amarillo","amarillo Mulloidichthys","Chivo amarillo"
"173","Chivo","escamosos;chivato;salmonete chico","Pseudupeneus","grandisquamis","Chivo escamosos;chivato;salmonete chico","Pseudupeneus grandisquamis","Chivo escamosos;chivato;salmonete chico","escamosos;chivato;salmonete chico Pseudupeneus","Chivo escamosos;chivato;salmonete chico"
"174","Chucho","pintado o Aguila real","Aetobatus","narinari","Chucho pintado o Aguila real","Aetobatus narinari","Chucho pintado o Aguila real","pintado o Aguila real Aetobatus","Chucho pintado o Aguila real"
"175","Tecolote;raya","murcielago","Myliobatis","californica","Tecolote;raya murcielago","Myliobatis californica","Tecolote;raya murcielago","murcielago Myliobatis","Tecolote;raya murcielago"
"176","Mantarraya","Raya","Myliobatis","fitchi","Mantarraya Raya","Myliobatis fitchi","Mantarraya Raya","Raya Myliobatis","Mantarraya Raya"
"177","Raya","aguila picuda","Myliobatis","longirostris","Raya aguila picuda","Myliobatis longirostris","Raya aguila picuda","aguila picuda Myliobatis","Raya aguila picuda"
"178","Guitarra","electrica","Narcine","entemedor","Guitarra electrica","Narcine entemedor","Guitarra electrica","electrica Narcine","Guitarra electrica"
"179","Guitarra","electrica","Narcine","vermiculatus","Guitarra electrica","Narcine vermiculatus","Guitarra electrica","electrica Narcine","Guitarra electrica"
"180","Pejegallo;gallo","Sierras","Nematistius","pectoralis","Pejegallo;gallo Sierras","Nematistius pectoralis","Pejegallo;gallo Sierras","Sierras Nematistius","Pejegallo;gallo Sierras"
"181","Lengua","rosada","Brotula","clarkae","Lengua rosada","Brotula clarkae","Lengua rosada","rosada Brotula","Lengua rosada"
"182","Lenguado","tres ojos","Ancylopssetta","dendritica","Lenguado tres ojos","Ancylopssetta dendritica","Lenguado tres ojos","tres ojos Ancylopssetta","Lenguado tres ojos"
"183","Lenguado","bonito","Citharichthys","gilberti","Lenguado bonito","Citharichthys gilberti","Lenguado bonito","bonito Citharichthys","Lenguado bonito"
"184","Lenguado","alon","Citharichthys","xanthostigma","Lenguado alon","Citharichthys xanthostigma","Lenguado alon","alon Citharichthys","Lenguado alon"
"185","Lenguado","Lenguados","Cyclopsetta","querna","Lenguado Lenguados","Cyclopsetta querna","Lenguado Lenguados","Lenguados Cyclopsetta","Lenguado Lenguados"
"186","Lenguado","bocon","Hippoglossina","stomata","Lenguado bocon","Hippoglossina stomata","Lenguado bocon","bocon Hippoglossina","Lenguado bocon"
"187","Lenguado","cuatrojos","Hippoglossina","tetropthalmas","Lenguado cuatrojos","Hippoglossina tetropthalmas","Lenguado cuatrojos","cuatrojos Hippoglossina","Lenguado cuatrojos"
"188","Lenguado","de Cortes","Paralichthys","aestuarius","Lenguado de Cortes","Paralichthys aestuarius","Lenguado de Cortes","de Cortes Paralichthys","Lenguado de Cortes"
"189","Lenguado","californiano","Paralichthys","californicus","Lenguado californiano","Paralichthys californicus","Lenguado californiano","californiano Paralichthys","Lenguado californiano"
"190","coreana","Raya","Raya","chillona;raya","coreana Raya","Raya chillona;raya","coreana Raya","Raya Raya","coreana Raya"
"191","Payaso","pinto;guitarra punteada","Rhinobatos","glaucostigma","Payaso pinto;guitarra punteada","Rhinobatos glaucostigma","Payaso pinto;guitarra punteada","pinto;guitarra punteada Rhinobatos","Payaso pinto;guitarra punteada"
"192","Guitarra","trompa blanca","Rhinobatos","leucorhynchus","Guitarra trompa blanca","Rhinobatos leucorhynchus","Guitarra trompa blanca","trompa blanca Rhinobatos","Guitarra trompa blanca"
"193","Payaso;guitarra","Raya","Rhinobatos","productus","Payaso;guitarra Raya","Rhinobatos productus","Payaso;guitarra Raya","Raya Rhinobatos","Payaso;guitarra Raya"
"194","Guitarra","rayada","Zapteryx","exasperata","Guitarra rayada","Zapteryx exasperata","Guitarra rayada","rayada Zapteryx","Guitarra rayada"
"195","Manta","gavilan","Rhinoptera","steindachneri","Manta gavilan","Rhinoptera steindachneri","Manta gavilan","gavilan Rhinoptera","Manta gavilan"
"196","Periquito","lunares turquesa","Nicholsina","denticulata","Periquito lunares turquesa","Nicholsina denticulata","Periquito lunares turquesa","lunares turquesa Nicholsina","Periquito lunares turquesa"
"197","Loro","azul","Scarus","perrico","Loro azul","Scarus perrico","Loro azul","azul Scarus","Loro azul"
"198","Loro","rojo","Scarus","rubroviolacea","Loro rojo","Scarus rubroviolacea","Loro rojo","rojo Scarus","Loro rojo"
"199","Corvina","blanca","Atractoscion","nobilis","Corvina blanca","Atractoscion nobilis","Corvina blanca","blanca Atractoscion","Corvina blanca"
"200","Corvineta","armada","Bairdiella","armata","Corvineta armada","Bairdiella armata","Corvineta armada","armada Bairdiella","Corvineta armada"
"201","Corvineta","ronco","Bairdiella","icistia","Corvineta ronco","Bairdiella icistia","Corvineta ronco","ronco Bairdiella","Corvineta ronco"
"202","Corvina","chiapaneca","Cynoscion","albus","Corvina chiapaneca","Cynoscion albus","Corvina chiapaneca","chiapaneca Cynoscion","Corvina chiapaneca"
"203","Corvina","enana","Cynoscion","nannus","Corvina enana","Cynoscion nannus","Corvina enana","enana Cynoscion","Corvina enana"
"204","Corvina","golfina","Cynoscion","othonopterus","Corvina golfina","Cynoscion othonopterus","Corvina golfina","golfina Cynoscion","Corvina golfina"
"205","corvina","azul;curvina aleta corta","Cynoscion","parvipinnis","corvina azul;curvina aleta corta","Cynoscion parvipinnis","corvina azul;curvina aleta corta","azul;curvina aleta corta Cynoscion","corvina azul;curvina aleta corta"
"206","Corvina","picuda;corvina de Oaxaca","Cynoscion","phoxocephalus","Corvina picuda;corvina de Oaxaca","Cynoscion phoxocephalus","Corvina picuda;corvina de Oaxaca","picuda;corvina de Oaxaca Cynoscion","Corvina picuda;corvina de Oaxaca"
"207","Corvina","rayada","Cynoscion","reticulatus","Corvina rayada","Cynoscion reticulatus","Corvina rayada","rayada Cynoscion","Corvina rayada"
"208","Corvina","blanda","Cynoscion","squamipinnis","Corvina blanda","Cynoscion squamipinnis","Corvina blanda","blanda Cynoscion","Corvina blanda"
"209","Corvina","coliamarilla","Cynoscion","stolzmanni","Corvina coliamarilla","Cynoscion stolzmanni","Corvina coliamarilla","coliamarilla Cynoscion","Corvina coliamarilla"
"210","Corvina","boca anaranjada","Cynoscion","xanthulus","Corvina boca anaranjada","Cynoscion xanthulus","Corvina boca anaranjada","boca anaranjada Cynoscion","Corvina boca anaranjada"
"211","Raton","de Baja","Cheilotrema","saturnum","Raton de Baja","Cheilotrema saturnum","Raton de Baja","de Baja Cheilotrema","Raton de Baja"
"212","Corvineta","boquinete","Larimus","acclivis","Corvineta boquinete","Larimus acclivis","Corvineta boquinete","boquinete Larimus","Corvineta boquinete"
"213","Corvina","chata","Larimus","efulgens","Corvina chata","Larimus efulgens","Corvina chata","chata Larimus","Corvina chata"
"214","Berrugata","gurrubata","Menticirhus","panamensis","Berrugata gurrubata","Menticirhus panamensis","Berrugata gurrubata","gurrubata Menticirhus","Berrugata gurrubata"
"215","Berrugata","real","Menticirrhus","nasus","Berrugata real","Menticirrhus nasus","Berrugata real","real Menticirrhus","Berrugata real"
"216","Berrugata","chula","Menticirrhus","paitensis","Berrugata chula","Menticirrhus paitensis","Berrugata chula","chula Menticirrhus","Berrugata chula"
"217","Berrugata","californiana","Menticirrhus","undulatus","Berrugata californiana","Menticirrhus undulatus","Berrugata californiana","californiana Menticirrhus","Berrugata californiana"
"218","Chano","sureno","Micropogonias","altipinnis","Chano sureno","Micropogonias altipinnis","Chano sureno","sureno Micropogonias","Chano sureno"
"219","Berrugata;yolo","Corvinas","Micropogonias","ectenes","Berrugata;yolo Corvinas","Micropogonias ectenes","Berrugata;yolo Corvinas","Corvinas Micropogonias","Berrugata;yolo Corvinas"
"220","Chano","norteno","Micropogonias","megalops","Chano norteno","Micropogonias megalops","Chano norteno","norteno Micropogonias","Chano norteno"
"221","Corvineta","bizca","Ophioscion","strabo","Corvineta bizca","Ophioscion strabo","Corvineta bizca","bizca Ophioscion","Corvineta bizca"
"222","Corvina","diente chico","Roncador","stearnsii","Corvina diente chico","Roncador stearnsii","Corvina diente chico","diente chico Roncador","Corvina diente chico"
"223","Berrugata","aleta amarilla","Umbrina","roncador","Berrugata aleta amarilla","Umbrina roncador","Berrugata aleta amarilla","aleta amarilla Umbrina","Berrugata aleta amarilla"
"224","Berrugata","roncadora","Umbrina","xanti","Berrugata roncadora","Umbrina xanti","Berrugata roncadora","roncadora Umbrina","Berrugata roncadora"
"225","Melvera","Sierras","Auxis","rochei","Melvera Sierras","Auxis rochei","Melvera Sierras","Sierras Auxis","Melvera Sierras"
"226","Melva;chula","Sierras","Auxis","thazard","Melva;chula Sierras","Auxis thazard","Melva;chula Sierras","Sierras Auxis","Melva;chula Sierras"
"227","Barrilete","negro","Euthynnus","lineatus","Barrilete negro","Euthynnus lineatus","Barrilete negro","negro Euthynnus","Barrilete negro"
"228","Barrilete","listado","Katsuwonus","pelamis","Barrilete listado","Katsuwonus pelamis","Barrilete listado","listado Katsuwonus","Barrilete listado"
"229","Bonito","del Pacifico oriental","Sarda","chiliensis","Bonito del Pacifico oriental","Sarda chiliensis","Bonito del Pacifico oriental","del Pacifico oriental Sarda","Bonito del Pacifico oriental"
"230","Chula","Sierras","Sarda","orientalis","Chula Sierras","Sarda orientalis","Chula Sierras","Sierras Sarda","Chula Sierras"
"231","Macarela","estornino","Scomber","japonicus","Macarela estornino","Scomber japonicus","Macarela estornino","estornino Scomber","Macarela estornino"
"232","Sierra","del cortes","Scomberomorus","concolor","Sierra del cortes","Scomberomorus concolor","Sierra del cortes","del cortes Scomberomorus","Sierra del cortes"
"233","Sierra","del Pacifico","Scomberomorus","sierra","Sierra del Pacifico","Scomberomorus sierra","Sierra del Pacifico","del Pacifico Scomberomorus","Sierra del Pacifico"
"234","Lapon","californiano;escorpion","Scorpaena","guttata","Lapon californiano;escorpion","Scorpaena guttata","Lapon californiano;escorpion","californiano;escorpion Scorpaena","Lapon californiano;escorpion"
"235","Lapon;escorpion;rascacio","Baquetas","Scorpaena","mystes","Lapon;escorpion;rascacio Baquetas","Scorpaena mystes","Lapon;escorpion;rascacio Baquetas","Baquetas Scorpaena","Lapon;escorpion;rascacio Baquetas"
"236","Rocote","arcoiris","Scorpaenodes","xyris","Rocote arcoiris","Scorpaenodes xyris","Rocote arcoiris","arcoiris Scorpaenodes","Rocote arcoiris"
"237","Rocote","sargacero","Sebastes","atrovirens","Rocote sargacero","Sebastes atrovirens","Rocote sargacero","sargacero Sebastes","Rocote sargacero"
"238","Rocote","estrella","Sebastes","constellatus","Rocote estrella","Sebastes constellatus","Rocote estrella","estrella Sebastes","Rocote estrella"
"239","Rocote","colorado","Sebastes","miniatus","Rocote colorado","Sebastes miniatus","Rocote colorado","colorado Sebastes","Rocote colorado"
"240","Rocote","bocaccio","Sebastes","paucispinis","Rocote bocaccio","Sebastes paucispinis","Rocote bocaccio","bocaccio Sebastes","Rocote bocaccio"
"241","Rosado","rosado","Sebastes","rosaceus","Rosado rosado","Sebastes rosaceus","Rosado rosado","rosado Sebastes","Rosado rosado"
"242","Rocote","bandera","Sebastes","rubrivinctus","Rocote bandera","Sebastes rubrivinctus","Rocote bandera","bandera Sebastes","Rocote bandera"
"243","Guaseta","del Pacifico","Alphestes","immaculatus","Guaseta del Pacifico","Alphestes immaculatus","Guaseta del Pacifico","del Pacifico Alphestes","Guaseta del Pacifico"
"244","Enjambre","Huachinango","Cephalopholis","panamensis","Enjambre Huachinango","Cephalopholis panamensis","Enjambre Huachinango","Huachinango Cephalopholis","Enjambre Huachinango"
"245","Cabrilla","cueruda","Dermatolepis","dermatolepis","Cabrilla cueruda","Dermatolepis dermatolepis","Cabrilla cueruda","cueruda Dermatolepis","Cabrilla cueruda"
"246","Carabonita","Baquetas","Diplectrum","eumelum","Carabonita Baquetas","Diplectrum eumelum","Carabonita Baquetas","Baquetas Diplectrum","Carabonita Baquetas"
"247","Serrano","extranjero","Diplectrum","euryplectrum","Serrano extranjero","Diplectrum euryplectrum","Serrano extranjero","extranjero Diplectrum","Serrano extranjero"
"248","Espinudo","Baquetas","Diplectrum","labarum","Espinudo Baquetas","Diplectrum labarum","Espinudo Baquetas","Baquetas Diplectrum","Espinudo Baquetas"
"249","Cabaicucho","Baquetas","Diplectrum","macropoma","Cabaicucho Baquetas","Diplectrum macropoma","Cabaicucho Baquetas","Baquetas Diplectrum","Cabaicucho Baquetas"
"250","Serrano;cabicucho","Corvinas","Diplectrum","pacificum","Serrano;cabicucho Corvinas","Diplectrum pacificum","Serrano;cabicucho Corvinas","Corvinas Diplectrum","Serrano;cabicucho Corvinas"
"251","Baquetas","Baquetas","Epinephelus","acanthistius","Baquetas Baquetas","Epinephelus acanthistius","Baquetas Baquetas","Baquetas Epinephelus","Baquetas Baquetas"
"252","Cabrilla","pinta","Epinephelus","analogus","Cabrilla pinta","Epinephelus analogus","Cabrilla pinta","pinta Epinephelus","Cabrilla pinta"
"253","Mero","guasa;cherna","Epinephelus","itajara","Mero guasa;cherna","Epinephelus itajara","Mero guasa;cherna","guasa;cherna Epinephelus","Mero guasa;cherna"
"254","Cabrilla","piedrera;maranguana","Epinephelus","labriformis","Cabrilla piedrera;maranguana","Epinephelus labriformis","Cabrilla piedrera;maranguana","piedrera;maranguana Epinephelus","Cabrilla piedrera;maranguana"
"255","Baqueta","ploma","Epinephelus","niphobles","Baqueta ploma","Epinephelus niphobles","Baqueta ploma","ploma Epinephelus","Baqueta ploma"
"256","Cabrilla","doblecola;antenado","Hemanthias","peruanus","Cabrilla doblecola;antenado","Hemanthias peruanus","Cabrilla doblecola;antenado","doblecola;antenado Hemanthias","Cabrilla doblecola;antenado"
"257","Baya","Baquetas","Mycteroperca","jordani","Baya Baquetas","Mycteroperca jordani","Baya Baquetas","Baquetas Mycteroperca","Baya Baquetas"
"258","Garropa",NA,"Mycteroperca","prionura","Garropa NA","Mycteroperca prionura","Garropa NA","NA Mycteroperca","Garropa NA"
"259","Cabrilla","sardinera;mitan","Mycteroperca","rosacea","Cabrilla sardinera;mitan","Mycteroperca rosacea","Cabrilla sardinera;mitan","sardinera;mitan Mycteroperca","Cabrilla sardinera;mitan"
"260","Cabrilla","plomuda;estacuda","Mycteroperca","xenarcha","Cabrilla plomuda;estacuda","Mycteroperca xenarcha","Cabrilla plomuda;estacuda","plomuda;estacuda Mycteroperca","Cabrilla plomuda;estacuda"
"261","Cabrilla","extranjera;lucero","Paralabrax","auroguttatus","Cabrilla extranjera;lucero","Paralabrax auroguttatus","Cabrilla extranjera;lucero","extranjera;lucero Paralabrax","Cabrilla extranjera;lucero"
"262","Cabrilla","sargacera;verdillo","Paralabrax","clathratus","Cabrilla sargacera;verdillo","Paralabrax clathratus","Cabrilla sargacera;verdillo","sargacera;verdillo Paralabrax","Cabrilla sargacera;verdillo"
"263","Cabrilla","cachete","Paralabrax","loro","Cabrilla cachete","Paralabrax loro","Cabrilla cachete","cachete Paralabrax","Cabrilla cachete"
"264","Cabrilla","de","Paralabrax","maculatofasciatus","Cabrilla de","Paralabrax maculatofasciatus","Cabrilla de","de Paralabrax","Cabrilla de"
"265","Verdillo;cabrilla","verde","Paralabrax","nebulifer","Verdillo;cabrilla verde","Paralabrax nebulifer","Verdillo;cabrilla verde","verde Paralabrax","Verdillo;cabrilla verde"
"266","Sandia;crica;tijerilla","Baquetas","Paranthias","colonus","Sandia;crica;tijerilla Baquetas","Paranthias colonus","Sandia;crica;tijerilla Baquetas","Baquetas Paranthias","Sandia;crica;tijerilla Baquetas"
"267","Serrano","bandera","Serranus","huascarii","Serrano bandera","Serranus huascarii","Serrano bandera","bandera Serranus","Serrano bandera"
"268","Pescada;pescara","Baquetas","Stereolepis","gigas","Pescada;pescara Baquetas","Stereolepis gigas","Pescada;pescara Baquetas","Baquetas Stereolepis","Pescada;pescara Baquetas"
"269","Mojarra","mueluda","Calamus","brachysomus","Mojarra mueluda","Calamus brachysomus","Mojarra mueluda","mueluda Calamus","Mojarra mueluda"
"270","Barracuda","mexicana","Sphyraena","ensis","Barracuda mexicana","Sphyraena ensis","Barracuda mexicana","mexicana Sphyraena","Barracuda mexicana"
"271","Barracuda","de","Sphyraena","lucasana","Barracuda de","Sphyraena lucasana","Barracuda de","de Sphyraena","Barracuda de"
"272","Tiburon","martillo","Sphyrna","lewini","Tiburon martillo","Sphyrna lewini","Tiburon martillo","martillo Sphyrna","Tiburon martillo"
"273","Angelote;tiburon","angel","Squatina","californica","Angelote;tiburon angel","Squatina californica","Angelote;tiburon angel","angel Squatina","Angelote;tiburon angel"
"274","Palometa","Jureles","Peprilus","medius","Palometa Jureles","Peprilus medius","Palometa Jureles","Jureles Peprilus","Palometa Jureles"
"275","Palometa","Jureles","Peprilus","simillimus","Palometa Jureles","Peprilus simillimus","Palometa Jureles","Jureles Peprilus","Palometa Jureles"
"276","Palometa","salema;pampanito","Peprilus","snyderi","Palometa salema;pampanito","Peprilus snyderi","Palometa salema;pampanito","salema;pampanito Peprilus","Palometa salema;pampanito"
"277","Chile","arpon,caiman,iguana","Synodus","scituliceps","Chile arpon,caiman,iguana","Synodus scituliceps","Chile arpon,caiman,iguana","arpon,caiman,iguana Synodus","Chile arpon,caiman,iguana"
"278","Botete","cabeza","Sphoeroides","angusticeps","Botete cabeza","Sphoeroides angusticeps","Botete cabeza","cabeza Sphoeroides","Botete cabeza"
"279","Botete","diana","Sphoeroides","annulatus","Botete diana","Sphoeroides annulatus","Botete diana","diana Sphoeroides","Botete diana"
"280","Botete","peruano;tamborin","Sphoeroides","sechurae","Botete peruano;tamborin","Sphoeroides sechurae","Botete peruano;tamborin","peruano;tamborin Sphoeroides","Botete peruano;tamborin"
"281","Tiburon","mamon","Mustelus","californicus","Tiburon mamon","Mustelus californicus","Tiburon mamon","mamon Mustelus","Tiburon mamon"
"282","Tiburon","mamon","Mustelus","henlei","Tiburon mamon","Mustelus henlei","Tiburon mamon","mamon Mustelus","Tiburon mamon"
"283","Tiburon","mamon","Mustelus","lunulatus","Tiburon mamon","Mustelus lunulatus","Tiburon mamon","mamon Mustelus","Tiburon mamon"
"284","Vaca","Huachinango","Prionotus","horrens","Vaca Huachinango","Prionotus horrens","Vaca Huachinango","Huachinango Prionotus","Vaca Huachinango"
"285","Miracielo","buldog;aguado","Kathetostoma","averruncus","Miracielo buldog;aguado","Kathetostoma averruncus","Miracielo buldog;aguado","buldog;aguado Kathetostoma","Miracielo buldog;aguado"
"286","Raya","moteada","Urobatis","halleri","Raya moteada","Urobatis halleri","Raya moteada","moteada Urobatis","Raya moteada"
"287","Raya","lija","Urobatis","maculatus","Raya lija","Urobatis maculatus","Raya lija","lija Urobatis","Raya lija"
"288","Raya","gris","Urotrygon","rogersi","Raya gris","Urotrygon rogersi","Raya gris","gris Urotrygon","Raya gris"
"289","Epinephelus","acanthistius",NA,NA,"Epinephelus acanthistius","NA NA","Epinephelus acanthistius","acanthistius NA","Epinephelus acanthistius"
"290","Epinephelus","niphobles",NA,NA,"Epinephelus niphobles","NA NA","Epinephelus niphobles","niphobles NA","Epinephelus niphobles"
"291","Paralabrax","nebulifer",NA,NA,"Paralabrax nebulifer","NA NA","Paralabrax nebulifer","nebulifer NA","Paralabrax nebulifer"
"292","Paralabrax","clathratus",NA,NA,"Paralabrax clathratus","NA NA","Paralabrax clathratus","clathratus NA","Paralabrax clathratus"
"293","Paralabrax","auroguttatus",NA,NA,"Paralabrax auroguttatus","NA NA","Paralabrax auroguttatus","auroguttatus NA","Paralabrax auroguttatus"
"294","amarillo","Paralabrax",NA,NA,"amarillo Paralabrax","NA NA","amarillo Paralabrax","Paralabrax NA","amarillo Paralabrax"
"295","Paralabrax","maculatofasciatus",NA,NA,"Paralabrax maculatofasciatus","NA NA","Paralabrax maculatofasciatus","maculatofasciatus NA","Paralabrax maculatofasciatus"
"296","Epinephelus","analogus",NA,NA,"Epinephelus analogus","NA NA","Epinephelus analogus","analogus NA","Epinephelus analogus"
"297","Mycteroperca","jordani",NA,NA,"Mycteroperca jordani","NA NA","Mycteroperca jordani","jordani NA","Mycteroperca jordani"
"298","Mycteroperca","rosacea",NA,NA,"Mycteroperca rosacea","NA NA","Mycteroperca rosacea","rosacea NA","Mycteroperca rosacea"
"299","Epinephelus","labriformis",NA,NA,"Epinephelus labriformis","NA NA","Epinephelus labriformis","labriformis NA","Epinephelus labriformis"
"300","Epinephelus","panamensis",NA,NA,"Epinephelus panamensis","NA NA","Epinephelus panamensis","panamensis NA","Epinephelus panamensis"
"301","Mycteroperca","xenarcha",NA,NA,"Mycteroperca xenarcha","NA NA","Mycteroperca xenarcha","xenarcha NA","Mycteroperca xenarcha"
"302","Dermatolepis","dermatolepis",NA,NA,"Dermatolepis dermatolepis","NA NA","Dermatolepis dermatolepis","dermatolepis NA","Dermatolepis dermatolepis"
"303","Stereolepis","gigas",NA,NA,"Stereolepis gigas","NA NA","Stereolepis gigas","gigas NA","Stereolepis gigas"
"304","Epinephelus","itajara",NA,NA,"Epinephelus itajara","NA NA","Epinephelus itajara","itajara NA","Epinephelus itajara"
"305","Cephalopholis","panamensis",NA,NA,"Cephalopholis panamensis","NA NA","Cephalopholis panamensis","panamensis NA","Cephalopholis panamensis"
"306","Mycteroperca","prionura",NA,NA,"Mycteroperca prionura","NA NA","Mycteroperca prionura","prionura NA","Mycteroperca prionura"
"307","Squatina","californica",NA,NA,"Squatina californica","NA NA","Squatina californica","californica NA","Squatina californica"
"308","Mustelus","californicus",NA,NA,"Mustelus californicus","NA NA","Mustelus californicus","californicus NA","Mustelus californicus"
"309","Mustelus","lunulatus",NA,NA,"Mustelus lunulatus","NA NA","Mustelus lunulatus","lunulatus NA","Mustelus lunulatus"
"310","Mustelus","henlei",NA,NA,"Mustelus henlei","NA NA","Mustelus henlei","henlei NA","Mustelus henlei"
"311","Rhizoprionodon","longurio",NA,NA,"Rhizoprionodon longurio","NA NA","Rhizoprionodon longurio","longurio NA","Rhizoprionodon longurio"
"312","Rhinobatos","productus",NA,NA,"Rhinobatos productus","NA NA","Rhinobatos productus","productus NA","Rhinobatos productus"
"313","Sebastes","paucispinis",NA,NA,"Sebastes paucispinis","NA NA","Sebastes paucispinis","paucispinis NA","Sebastes paucispinis"
"314","Sebastes","atrovirens",NA,NA,"Sebastes atrovirens","NA NA","Sebastes atrovirens","atrovirens NA","Sebastes atrovirens"
"315","Scorpaenodes","xyris",NA,NA,"Scorpaenodes xyris","NA NA","Scorpaenodes xyris","xyris NA","Scorpaenodes xyris"
"316","Sebastes","constellatus",NA,NA,"Sebastes constellatus","NA NA","Sebastes constellatus","constellatus NA","Sebastes constellatus"
"317","Sebastes","miniatus",NA,NA,"Sebastes miniatus","NA NA","Sebastes miniatus","miniatus NA","Sebastes miniatus"
"318","Sebastes","rosaceus",NA,NA,"Sebastes rosaceus","NA NA","Sebastes rosaceus","rosaceus NA","Sebastes rosaceus"
"319","Sebastes","rubrivinctus",NA,NA,"Sebastes rubrivinctus","NA NA","Sebastes rubrivinctus","rubrivinctus NA","Sebastes rubrivinctus"
"320","Semicosssyphus","pulcher",NA,NA,"Semicosssyphus pulcher","NA NA","Semicosssyphus pulcher","pulcher NA","Semicosssyphus pulcher"
"321","Diplectrum","euryplectrum",NA,NA,"Diplectrum euryplectrum","NA NA","Diplectrum euryplectrum","euryplectrum NA","Diplectrum euryplectrum"
"322","Diplectrum","eumelum",NA,NA,"Diplectrum eumelum","NA NA","Diplectrum eumelum","eumelum NA","Diplectrum eumelum"
"323","Cynoscion","parvipinnis",NA,NA,"Cynoscion parvipinnis","NA NA","Cynoscion parvipinnis","parvipinnis NA","Cynoscion parvipinnis"
"324","Cynoscion","othonopterus",NA,NA,"Cynoscion othonopterus","NA NA","Cynoscion othonopterus","othonopterus NA","Cynoscion othonopterus"
"325","amarilla","Umbrina",NA,NA,"amarilla Umbrina","NA NA","amarilla Umbrina","Umbrina NA","amarilla Umbrina"
"326","Micropogonias","megalops",NA,NA,"Micropogonias megalops","NA NA","Micropogonias megalops","megalops NA","Micropogonias megalops"
"327","chico","Roncador",NA,NA,"chico Roncador","NA NA","chico Roncador","Roncador NA","chico Roncador"
"328","Cheilotrema","saturna",NA,NA,"Cheilotrema saturna","NA NA","Cheilotrema saturna","saturna NA","Cheilotrema saturna"
"329","Menticirrhus","undulatus",NA,NA,"Menticirrhus undulatus","NA NA","Menticirrhus undulatus","undulatus NA","Menticirrhus undulatus"
"330","Cynoscion","nannus",NA,NA,"Cynoscion nannus","NA NA","Cynoscion nannus","nannus NA","Cynoscion nannus"
"331","Cynoscion","stolzmanni",NA,NA,"Cynoscion stolzmanni","NA NA","Cynoscion stolzmanni","stolzmanni NA","Cynoscion stolzmanni"
"332","Cynoscion","squamipinnis",NA,NA,"Cynoscion squamipinnis","NA NA","Cynoscion squamipinnis","squamipinnis NA","Cynoscion squamipinnis"
"333","Micropogonias","altipinnis",NA,NA,"Micropogonias altipinnis","NA NA","Micropogonias altipinnis","altipinnis NA","Micropogonias altipinnis"
"334","Menticirrhus","nasus",NA,NA,"Menticirrhus nasus","NA NA","Menticirrhus nasus","nasus NA","Menticirrhus nasus"
"335","Atractoscion","nobilis",NA,NA,"Atractoscion nobilis","NA NA","Atractoscion nobilis","nobilis NA","Atractoscion nobilis"
"336","Bairdiella","armata",NA,NA,"Bairdiella armata","NA NA","Bairdiella armata","armata NA","Bairdiella armata"
"337","Bairdiella","icistia",NA,NA,"Bairdiella icistia","NA NA","Bairdiella icistia","icistia NA","Bairdiella icistia"
"338","Umbrina","xanti",NA,NA,"Umbrina xanti","NA NA","Umbrina xanti","xanti NA","Umbrina xanti"
"339","Cynoscion","reticulatus",NA,NA,"Cynoscion reticulatus","NA NA","Cynoscion reticulatus","reticulatus NA","Cynoscion reticulatus"
"340","anaranjada","Cynoscion",NA,NA,"anaranjada Cynoscion","NA NA","anaranjada Cynoscion","Cynoscion NA","anaranjada Cynoscion"
"341","Menticirrhus","panamensis",NA,NA,"Menticirrhus panamensis","NA NA","Menticirrhus panamensis","panamensis NA","Menticirrhus panamensis"
"342","Cynoscion","albus",NA,NA,"Cynoscion albus","NA NA","Cynoscion albus","albus NA","Cynoscion albus"
"343","Diplectrum","pacificum",NA,NA,"Diplectrum pacificum","NA NA","Diplectrum pacificum","pacificum NA","Diplectrum pacificum"
"344","Paralabrax","maculatofasciatus",NA,NA,"Paralabrax maculatofasciatus","NA NA","Paralabrax maculatofasciatus","maculatofasciatus NA","Paralabrax maculatofasciatus"
"345","Serranus","huascarii",NA,NA,"Serranus huascarii","NA NA","Serranus huascarii","huascarii NA","Serranus huascarii"
"346","Balistes","polylepis",NA,NA,"Balistes polylepis","NA NA","Balistes polylepis","polylepis NA","Balistes polylepis"
