"","MMID","Short_Title","Keywords","Author","Institution","Dataset_Available","Subject_name","Area","Region","Location","Start_Year","End_Year","Data_Time_Points","Unit_Type","Temporal_Resolution","Spatial_Resolution","Dataset_Title","Compilation_Title","Publication_Year","Reference","Available_Metadata","Metadata_name","User_Contact","Institution_Type","Research_Fund","Research_Field","SE_Interaction","Data_Uncertanty","Notes","Lat","Long"
"192",1217,"Precio de Venta de Pescado en Yucatan (1998-2016)","Precio; Min; Max; Promedio; Venta; Pescado; Yucatan","SNIIM","SE",2,"Multiple Especies","Atlantic","Banco Campeche Caribe","Yucatan",1998,2017,12,"Currency","Month","State","Precio de Venta de Pescado en Yucatan (1998-2016)","Consolidado de Precios de Productos Pesqueros",2016,"http://www.economia-sniim.gob.mx/SNIIM-PESCA/Consolidados.asp","NO",NA,"SNIIM; info_sniim@economia.gob.mx","GOV","GOV","Fisheries","Benefits",NA,NA,NA,NA
"193",1222,"Precio de Venta de Pescado en Punto de Cotizacion CHIS: Tuxtla Gutierrez, Chiapas (1998-2016)","Precio; Min; Max; Promedio; Venta; Pescado; Punto; Cotizacion; Tuxtla","SNIIM","SE",1,"Multiple Especies","Atlantic","West Gulf of Mexico","Tuxtla",1998,2017,12,"Currency","Month","State","Precio de Venta de Pescado en Yucatan (1998-2016)","Consolidado de Precios de Productos Pesqueros",2016,"http://www.economia-sniim.gob.mx/SNIIM-PESCA/Consolidados.asp","NO",NA,"SNIIM; info_sniim@economia.gob.mx","GOV","GOV","Fisheries","Benefits",NA,NA,NA,NA
"194",1243,"Precio de Venta de Pescado en Punto de Cotizacion VER: Alvarado, Veracruz (1998-2016)","Precio; Min; Max; Promedio; Venta; Pescado; Punto; Cotizacion; Alvarado","SNIIM","SE",1,"Alvarado","Atlantic","West Gulf of Mexico","Alvarado",1998,2017,3,"Currency","Month","State","Precio de Venta de Pescado en Punto de Cotizacion VER: Alvarado, Veracruz (1998-2016)","Consolidado de Precios de Productos Pesqueros",2016,"http://www.economia-sniim.gob.mx/SNIIM-PESCA/Consolidados.asp","NO",NA,"SNIIM; info_sniim@economia.gob.mx","GOV","GOV","Fisheries","Benefits",NA,NA,NA,NA
"195",1244,"Precio de Venta de Pescado en Punto de Cotizacion VER: Jalapa, Veracruz (1998-2016)","Precio; Min; Max; Promedio; Venta; Pescado; Punto; Cotizacion; Jalapa; Xalapa","SNIIM","SE",1,"Multiple Especies","Atlantic","West Gulf of Mexico","Jalapa",1998,2017,3,"Currency","Month","State","Precio de Venta de Pescado en Punto de Cotizacion VER: Jalapa, Veracruz (1998-2016)","Consolidado de Precios de Productos Pesqueros",2016,"http://www.economia-sniim.gob.mx/SNIIM-PESCA/Consolidados.asp","NO",NA,"SNIIM; info_sniim@economia.gob.mx","GOV","GOV","Fisheries","Benefits",NA,NA,NA,NA
"196",1245,"Precio de Venta de Pescado en Punto de Cotizacion VER: Veracruz, Veracruz (1998-2016)","Precio; Min; Max; Promedio; Venta; Pescado; Punto; Cotizacion; Veracruz","SNIIM","SE",1,"Multiple Especies","Atlantic","West Gulf of Mexico","Veracruz",1998,2017,15,"Currency","Month","State","Precio de Venta de Pescado en Punto de Cotizacion VER: Veracruz, Veracruz (1998-2016)","Consolidado de Precios de Productos Pesqueros",2016,"http://www.economia-sniim.gob.mx/SNIIM-PESCA/Consolidados.asp","NO",NA,"SNIIM; info_sniim@economia.gob.mx","GOV","GOV","Fisheries","Benefits",NA,NA,23,-96.5783
"197",1246,"Precio de Venta de Pescado en Punto de Cotizacion YUC: Merida, Yucatan (1998-2016)","Precio; Min; Max; Promedio; Venta; Pescado; Punto; Cotizacion; Merida","SNIIM","SE",1,"Multiple Especies","Atlantic","Banco Campeche Caribe","Merida",1998,2017,12,"Currency","Month","State","Precio de Venta de Pescado en Punto de Cotizacion YUC: Merida, Yucatan (1998-2016)","Consolidado de Precios de Productos Pesqueros",2016,"http://www.economia-sniim.gob.mx/SNIIM-PESCA/Consolidados.asp","NO",NA,"SNIIM; info_sniim@economia.gob.mx","GOV","GOV","Fisheries","Benefits",NA,NA,NA,NA
"198",1522,"Biodiversity of the Gulf of Mexico (BioGoMx)","Biodiversidad; Golfo de Mexico; OBIS; Biota; BioGoMx","Moretzsohn F","OBIS",2,NA,"Atlantic",NA,"Gulf of Mexico",2010,2010,1,"Counts","Year","Gulf of Mexico","Biodiversity of the Gulf of Mexico Database (BioGoMx)","Ocean Biogeographic Information System",2010,"http://www.iobis.org/explore/#/dataset/1545","NO",NA,NA,"Academic","Academic","Conservation","State",NA,NA,NA,NA
"199",1531,"Historic Aquaculture Production for Campeche","Campeche; Acuacultura","CONAPESCA","CONAPESCA",1,"Campeche","Atlantic","Banco Campeche Caribe","Campeche",2004,2013,10,"Weight","Year","State","VOLUMEN DE LA PRODUCCION DE ACUACULTURA EN PESO VIVO, SEGUN LITORAL Y ENTIDAD FEDERATIVA, 2004-2013","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Aquaculture","Benefits",NA,NA,20.3,-90.5349
"200",1549,"Historic Aquaculture Production for Quintana Roo","Quintana Roo; Acuacultura","CONAPESCA","CONAPESCA",1,"Multiple Especies","Atlantic","Banco Campeche Caribe","Quintana Roo",2004,2013,10,"Weight","Year","State","VOLUMEN DE LA PRODUCCION DE ACUACULTURA EN PESO VIVO, SEGUN LITORAL Y ENTIDAD FEDERATIVA, 2004-2013","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Aquaculture","Benefits",NA,NA,19.1817,-80.4791
"201",1553,"Historic Aquaculture Production for Tabasco","Tabasco; Acuacultura","CONAPESCA","CONAPESCA",1,"Multiple Especies","Atlantic","West Gulf of Mexico","Tabasco",2004,2013,10,"Weight","Year","State","VOLUMEN DE LA PRODUCCION DE ACUACULTURA EN PESO VIVO, SEGUN LITORAL Y ENTIDAD FEDERATIVA, 2004-2013","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Aquaculture","Benefits",NA,NA,NA,NA
"202",1554,"Historic Aquaculture Production for Tamaulipas","Tamaulipas; Acuacultura","CONAPESCA","CONAPESCA",1,"Multiple Especies","Atlantic","West Gulf of Mexico","Tamaulipas",2004,2013,10,"Weight","Year","State","VOLUMEN DE LA PRODUCCION DE ACUACULTURA EN PESO VIVO, SEGUN LITORAL Y ENTIDAD FEDERATIVA, 2004-2013","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Aquaculture","Benefits",NA,NA,NA,NA
"203",1556,"Historic Aquaculture Production for Veracruz","Veracruz; Acuacultura","CONAPESCA","CONAPESCA",1,"Multiple Especies","Atlantic","West Gulf of Mexico","Veracruz",2004,2013,10,"Weight","Year","State","VOLUMEN DE LA PRODUCCION DE ACUACULTURA EN PESO VIVO, SEGUN LITORAL Y ENTIDAD FEDERATIVA, 2004-2013","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Aquaculture","Benefits",NA,NA,23,-96.5783
"204",1557,"Historic Aquaculture Production for Yucatan","Yucatan; Acuacultura","CONAPESCA","CONAPESCA",1,"Multiple Especies","Atlantic","Banco Campeche Caribe","Yucatan",2004,2013,10,"Weight","Year","State","VOLUMEN DE LA PRODUCCION DE ACUACULTURA EN PESO VIVO, SEGUN LITORAL Y ENTIDAD FEDERATIVA, 2004-2013","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Aquaculture","Benefits",NA,NA,NA,NA
"205",1608,"Embaracaciones Registradas en Campeche 2013","Campeche Embarcaciones; Principales Pesquerias; Total; Nacional; Pesca","CONAPESCA","CONAPESCA",1,"Campeche","Atlantic","Banco Campeche Caribe","Campeche",2013,2013,1,"Counts","Year","State","EMBARCACIONES REGISTRADAS POR PRINCIPALES PESQUERIAS, SEGUN LITORAL Y ENTIDAD FEDERATIVA, 2013 (UNIDADES)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Pressure",NA,NA,NA,NA
"206",1626,"Embaracaciones Registradas en Quintana Roo 2013","Quintana Roo Embarcaciones; Principales Pesquerias; Total; Nacional; Pesca","CONAPESCA","CONAPESCA",1,"Embarcaciones","Atlantic","Banco Campeche Caribe","Quintana Roo",2013,2013,1,"Counts","Year","State","EMBARCACIONES REGISTRADAS POR PRINCIPALES PESQUERIAS, SEGUN LITORAL Y ENTIDAD FEDERATIVA, 2013 (UNIDADES)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Pressure",NA,NA,NA,NA
"207",1630,"Embaracaciones Registradas en Tabasco 2013","Tabasco Embarcaciones; Principales Pesquerias; Total; Nacional; Pesca","CONAPESCA","CONAPESCA",1,"Embarcaciones","Atlantic","West Gulf of Mexico","Tabasco",2013,2013,1,"Counts","Year","State","EMBARCACIONES REGISTRADAS POR PRINCIPALES PESQUERIAS, SEGUN LITORAL Y ENTIDAD FEDERATIVA, 2013 (UNIDADES)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Pressure",NA,NA,NA,NA
"208",1631,"Embaracaciones Registradas en Tamaulipas 2013","Tamaulipas Embarcaciones; Principales Pesquerias; Total; Nacional; Pesca","CONAPESCA","CONAPESCA",1,"Embarcaciones","Atlantic","West Gulf of Mexico","Tamaulipas",2013,2013,1,"Counts","Year","State","EMBARCACIONES REGISTRADAS POR PRINCIPALES PESQUERIAS, SEGUN LITORAL Y ENTIDAD FEDERATIVA, 2013 (UNIDADES)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Pressure",NA,NA,NA,NA
"209",1633,"Embarcaciones Registradas en Veracruz 2013","Veracruz Embarcaciones; Principales Pesquerias; Total; Nacional; Pesca","CONAPESCA","CONAPESCA",1,"Embarcaciones","Atlantic","West Gulf of Mexico","Veracruz",2013,2013,1,"Counts","Year","State","EMBARCACIONES REGISTRADAS POR PRINCIPALES PESQUERIAS, SEGUN LITORAL Y ENTIDAD FEDERATIVA, 2013 (UNIDADES)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Pressure",NA,NA,NA,NA
"210",1634,"Embarcaciones Registradas en Yucatan Peninsula 2013","Yucatan Peninsula Embarcaciones; Principales Pesquerias; Total; Nacional; Pesca","CONAPESCA","CONAPESCA",1,"Embarcaciones","Atlantic","Banco Campeche Caribe","Yucatan Peninsula",2013,2013,1,"Counts","Year","State","EMBARCACIONES REGISTRADAS POR PRINCIPALES PESQUERIAS, SEGUN LITORAL Y ENTIDAD FEDERATIVA, 2013 (UNIDADES)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Pressure",NA,NA,NA,NA
"211",1643,"Embarcaciones Registradas para Pesca de Altura (Atun) Campeche 2013","Campeche Embarcaciones; Principales Pesquerias; Altura; Estado; Pesca; Atun; Tunidos","CONAPESCA","CONAPESCA",1,"Tunidos","Atlantic","Banco Campeche Caribe","Campeche",2013,2013,1,"Counts","Year","State","EMBARCACIONES REGISTRADAS POR PRINCIPALES PESQUERIAS, SEGUN LITORAL Y ENTIDAD FEDERATIVA, 2013 (UNIDADES)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Pressure",NA,NA,NA,NA
"212",1646,"Embarcaciones Registradas para Pesca de Altura (Atun) Yucatan Peninsula 2013","Yucatan Peninsula Embarcaciones; Principales Pesquerias; Altura; Estado; Pesca; Atun; Tunidos","CONAPESCA","CONAPESCA",1,"Embarcaciones","Atlantic","Banco Campeche Caribe","Yucatan",2013,2013,1,"Counts","Year","State","EMBARCACIONES REGISTRADAS POR PRINCIPALES PESQUERIAS, SEGUN LITORAL Y ENTIDAD FEDERATIVA, 2013 (UNIDADES)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Pressure",NA,NA,NA,NA
"213",1656,"Embarcaciones Camaroneras en Veracruz 1984-2013","Veracruz Embarcaciones; Principales Pesquerias; Altura; Estado; Pesca; Camaron","CONAPESCA","CONAPESCA",1,"Camaron","Atlantic","West Gulf of Mexico","Veracruz",1984,2013,30,"Counts","Year","State","EMBARCACIONES CAMARONERAS REGISTRADAS POR LITORAL Y ENTIDAD FEDERATIVA, 1984-2013.","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Pressure",NA,NA,NA,NA
"214",1657,"Embarcaciones Camaroneras en Tabasco 1984-2013","Tabasco; Embarcaciones; Principales Pesquerias; Altura; Estado; Pesca; Camaron","CONAPESCA","CONAPESCA",1,"Camaron","Atlantic","West Gulf of Mexico","Tabasco",1984,2013,30,"Counts","Year","State","EMBARCACIONES CAMARONERAS REGISTRADAS POR LITORAL Y ENTIDAD FEDERATIVA, 1984-2013.","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Pressure",NA,NA,NA,NA
"215",1658,"Embarcaciones Camaroneras en Campeche 1984-2013","Campeche Embarcaciones; Principales Pesquerias; Altura; Estado; Pesca; Camaron","CONAPESCA","CONAPESCA",1,"Camaron","Atlantic","Banco Campeche Caribe","Campeche",1984,2013,30,"Counts","Year","State","EMBARCACIONES CAMARONERAS REGISTRADAS POR LITORAL Y ENTIDAD FEDERATIVA, 1984-2013.","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Pressure",NA,NA,NA,NA
"216",1660,"Embarcaciones Camaroneras en Quintana Roo 1984-2013","Quintana Roo Embarcaciones; Principales Pesquerias; Altura; Quintana Roo; Pesca; Camaron","CONAPESCA","CONAPESCA",1,"Camaron","Atlantic","Banco Campeche Caribe","Quintana Roo",1984,2013,30,"Counts","Year","State","EMBARCACIONES CAMARONERAS REGISTRADAS POR LITORAL Y ENTIDAD FEDERATIVA, 1984-2013.","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Pressure",NA,NA,NA,NA
"217",1662,"Embarcaciones Camaroneras en Tamaulipas 1984-2013","Tamaulipas Embarcaciones; Principales Pesquerias; Altura; Estado; Pesca; Camaron","CONAPESCA","CONAPESCA",1,"Camaron","Atlantic","West Gulf of Mexico","Tamaulipas",1984,2013,30,"Counts","Year","State","EMBARCACIONES CAMARONERAS REGISTRADAS POR LITORAL Y ENTIDAD FEDERATIVA, 1984-2013.","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Pressure",NA,NA,NA,NA
"218",1663,"Embarcaciones Camaroneras en Yucatan Peninsula 1984-2013","Yucatan Peninsula Embarcaciones; Principales Pesquerias; Altura; Estado; Pesca; Camaron","CONAPESCA","CONAPESCA",1,"Camaron","Atlantic","Banco Campeche Caribe","Yucatan",1984,2013,30,"Counts","Year","State","EMBARCACIONES CAMARONERAS REGISTRADAS POR LITORAL Y ENTIDAD FEDERATIVA, 1984-2013.","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Pressure",NA,NA,NA,NA
"219",1666,"Embarcaciones Registradas para Pesca de Altura (Escama) Quintana Roo 2013","Quintana Roo Embarcaciones; Principales Pesquerias; Altura; Estado; Pesca; Escama","CONAPESCA","CONAPESCA",1,"Escama","Atlantic","Banco Campeche Caribe","Quintana Roo",2013,2013,1,"Counts","Year","State","EMBARCACIONES REGISTRADAS POR PRINCIPALES PESQUERIAS, SEGUN LITORAL Y ENTIDAD FEDERATIVA, 2013 (UNIDADES)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Pressure",NA,NA,NA,NA
"220",1669,"Embarcaciones Registradas para Pesca de Altura (Escama) Tabasco 2013","Tabasco Embarcaciones; Principales Pesquerias; Altura; Estado; Pesca; Escama","CONAPESCA","CONAPESCA",1,"Escama","Atlantic","West Gulf of Mexico","Tabasco",2013,2013,1,"Counts","Year","State","EMBARCACIONES REGISTRADAS POR PRINCIPALES PESQUERIAS, SEGUN LITORAL Y ENTIDAD FEDERATIVA, 2013 (UNIDADES)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Pressure",NA,NA,NA,NA
"221",1670,"Embarcaciones Registradas para Pesca de Altura (Escama) Tamaulipas 2013","Tamaulipas Embarcaciones; Principales Pesquerias; Altura; Estado; Pesca; Escama","CONAPESCA","CONAPESCA",1,"Escama","Atlantic","West Gulf of Mexico","Tamaulipas",2013,2013,1,"Counts","Year","State","EMBARCACIONES REGISTRADAS POR PRINCIPALES PESQUERIAS, SEGUN LITORAL Y ENTIDAD FEDERATIVA, 2013 (UNIDADES)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Pressure",NA,NA,NA,NA
"222",1671,"Embarcaciones Registradas para Pesca de Altura (Escama) Veracruz 2013","Veracruz Embarcaciones; Principales Pesquerias; Altura; Estado; Pesca; Escama","CONAPESCA","CONAPESCA",1,"Escama","Atlantic","West Gulf of Mexico","Veracruz",2013,2013,1,"Counts","Year","State","EMBARCACIONES REGISTRADAS POR PRINCIPALES PESQUERIAS, SEGUN LITORAL Y ENTIDAD FEDERATIVA, 2013 (UNIDADES)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Pressure",NA,NA,NA,NA
"223",1672,"Embarcaciones Registradas para Pesca de Altura (Escama) Yucatan Peninsula 2013","Yucatan Peninsula Embarcaciones; Principales Pesquerias; Altura; Estado; Pesca; Escama","CONAPESCA","CONAPESCA",1,"Escama","Atlantic","Banco Campeche Caribe","Yucatan",2013,2013,1,"Counts","Year","State","EMBARCACIONES REGISTRADAS POR PRINCIPALES PESQUERIAS, SEGUN LITORAL Y ENTIDAD FEDERATIVA, 2013 (UNIDADES)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Pressure",NA,NA,NA,NA
"224",1676,"Embarcaciones Registradas para Pesca de Altura en Campeche 2013","Campeche Embarcaciones; Principales Pesquerias; Altura; Estado; Pesca","CONAPESCA","CONAPESCA",1,"Campeche","Atlantic","Banco Campeche Caribe","Campeche",2013,2013,1,"Counts","Year","State","EMBARCACIONES REGISTRADAS POR PRINCIPALES PESQUERIAS, SEGUN LITORAL Y ENTIDAD FEDERATIVA, 2013 (UNIDADES)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Pressure",NA,NA,NA,NA
"225",1687,"Embarcaciones Registradas para Pesca Riberena Campeche 2013","Campeche Embarcaciones; Principales Pesquerias; Rios; Estado; Pesca; Riberena","CONAPESCA","CONAPESCA",1,"Campeche","Atlantic","Banco Campeche Caribe","Campeche",2013,2013,1,"Counts","Year","State","EMBARCACIONES REGISTRADAS POR PRINCIPALES PESQUERIAS, SEGUN LITORAL Y ENTIDAD FEDERATIVA, 2013 (UNIDADES)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Pressure",NA,NA,NA,NA
"226",1706,"Embarcaciones Registradas para Pesca Riberena Quintana Roo 2013","Quintana Roo Embarcaciones; Principales Pesquerias; Rios; Estado; Pesca; Riberena","CONAPESCA","CONAPESCA",1,"Embarcaciones","Atlantic","Banco Campeche Caribe","Quintana Roo",2013,2013,1,"Counts","Year","State","EMBARCACIONES REGISTRADAS POR PRINCIPALES PESQUERIAS, SEGUN LITORAL Y ENTIDAD FEDERATIVA, 2013 (UNIDADES)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Pressure",NA,NA,NA,NA
"227",1710,"Embarcaciones Registradas para Pesca Riberena Tabasco 2013","Tabasco Embarcaciones; Principales Pesquerias; Rios; Estado; Pesca; Riberena","CONAPESCA","CONAPESCA",1,"Embarcaciones","Atlantic","West Gulf of Mexico","Tabasco",2013,2013,1,"Counts","Year","State","EMBARCACIONES REGISTRADAS POR PRINCIPALES PESQUERIAS, SEGUN LITORAL Y ENTIDAD FEDERATIVA, 2013 (UNIDADES)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Pressure",NA,NA,NA,NA
"228",1711,"Embarcaciones Registradas para Pesca Riberena Tamaulipas 2013","Tamaulipas Embarcaciones; Principales Pesquerias; Rios; Estado; Pesca; Riberena","CONAPESCA","CONAPESCA",1,"Embarcaciones","Atlantic","West Gulf of Mexico","Tamaulipas",2013,2013,1,"Counts","Year","State","EMBARCACIONES REGISTRADAS POR PRINCIPALES PESQUERIAS, SEGUN LITORAL Y ENTIDAD FEDERATIVA, 2013 (UNIDADES)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Pressure",NA,NA,NA,NA
"229",1713,"Embarcaciones Registradas para Pesca Riberena Veracruz 2013","Veracruz Embarcaciones; Principales Pesquerias; Rios; Estado; Pesca; Riberena","CONAPESCA","CONAPESCA",1,"Embarcaciones","Atlantic","West Gulf of Mexico","Veracruz",2013,2013,1,"Counts","Year","State","EMBARCACIONES REGISTRADAS POR PRINCIPALES PESQUERIAS, SEGUN LITORAL Y ENTIDAD FEDERATIVA, 2013 (UNIDADES)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Pressure",NA,NA,NA,NA
"230",1714,"Embarcaciones Registradas para Pesca Riberena Yucatan Peninsula 2013","Yucatan Peninsula Embarcaciones; Principales Pesquerias; Rios; Estado; Pesca; Riberena","CONAPESCA","CONAPESCA",1,"Embarcaciones","Atlantic","Banco Campeche Caribe","Yucatan",2013,2013,1,"Counts","Year","State","EMBARCACIONES REGISTRADAS POR PRINCIPALES PESQUERIAS, SEGUN LITORAL Y ENTIDAD FEDERATIVA, 2013 (UNIDADES)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Pressure",NA,NA,NA,NA
"231",1717,"Embarcaciones Camaroneras del Atlantico segun Caracteristicas","Camaron; Embarcaciones; Toneladas; Eslora; Antiguedad; Total; Litoral Atlantico; Tamaulipas; Veracruz; Tabasco; Campeche; Yucatan; Quintana Roo","CONAPESCA","CONAPESCA",1,"Camaron","Atlantic",NA,"Multiple States",2013,2013,6,"Counts","Year","State","EMBARCACIONES CAMARONERAS POR PRINCIPALES CARACTERISTICAS, SEGUN LITORAL Y ENTIDAD FEDERATIVA, 2013","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Pressure",NA,NA,NA,NA
"232",1719,"Embarcaciones Atuneras del Atlantico segun Caracteristicas","Atun; Embarcaciones; Toneladas; Eslora; Antiguedad; Total; Litoral Atlantico; Veracruz; Yucatan; Capacidad; Acarreo","CONAPESCA","CONAPESCA",1,"Tunidos","Atlantic",NA,"Multiple States",2013,2013,8,"Counts","Year","State","EMBARCACIONES ATUNERAS POR PRINCIPALES CARACTERISTICAS, SEGUN LITORAL Y ENTIDAD FEDERATIVA, 2013.","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Pressure",NA,NA,NA,NA
