"","TituloI","TituloII","Keywords","Subject"
"738","Distribucion de Choromytilus palliopunctatus en el golfo de California","Clasificacion Taxonomica Completa de Choromytilus palliopunctatus","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Mytilus palliopunctatus","Choromytilus palliopunctatus"
"739","Distribucion de Chromodoris annulata en el golfo de California","Clasificacion Taxonomica Completa de Chromodoris annulata","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Chromodoris annulata"
"740","Distribucion de Chromodoris baumanni en el golfo de California","Clasificacion Taxonomica Completa de Chromodoris baumanni","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Chromodoris baumanni"
"741","Distribucion de Chromodoris galexorum en el golfo de California","Clasificacion Taxonomica Completa de Chromodoris galexorum","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Chromodoris galexorum"
"742","Distribucion de Chromodoris marislae en el golfo de California","Clasificacion Taxonomica Completa de Chromodoris marislae","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Chromodoris marislae"
"743","Distribucion de Chromodoris norrisi en el golfo de California","Clasificacion Taxonomica Completa de Chromodoris norrisi","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Chromodoris norrisi"
"744","Distribucion de Chromodoris sphoni en el golfo de California","Clasificacion Taxonomica Completa de Chromodoris sphoni","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Felimida sphoni","Chromodoris sphoni"
"745","Distribucion de Chrysallida clathratula en el golfo de California","Clasificacion Taxonomica Completa de Chrysallida clathratula","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Chemnitzia clathratula","Chrysallida clathratula"
"746","Distribucion de Chrysallida fasciata en el golfo de California","Clasificacion Taxonomica Completa de Chrysallida fasciata","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Odostomia (Chrysallida) fasciata","Chrysallida fasciata"
"747","Distribucion de Chrysallida paupercula en el golfo de California","Clasificacion Taxonomica Completa de Chrysallida paupercula","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Cingula paupercula","Chrysallida paupercula"
"748","Distribucion de Chrysallida vizcainoana en el golfo de California","Clasificacion Taxonomica Completa de Chrysallida vizcainoana","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Odostomia (Chrysallida) vizcainoana","Chrysallida vizcainoana"
"749","Distribucion de Chrysopetalum occidentale en el golfo de California","Clasificacion Taxonomica Completa de Chrysopetalum occidentale","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Chrysopetalum paessleri Augener, 1912","Chrysopetalum occidentale"
"750","Distribucion de Chuniphyes moserae en el golfo de California","Clasificacion Taxonomica Completa de Chuniphyes moserae","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Chuniphyes moserae"
"751","Distribucion de Cigclisula porosa en el golfo de California","Clasificacion Taxonomica Completa de Cigclisula porosa","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Holoporella porosa","Cigclisula porosa"
"752","Distribucion de Cinclidotyphis myrae en el golfo de California","Clasificacion Taxonomica Completa de Cinclidotyphis myrae","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Cinclidotyphis myrae"
"753","Distribucion de Cingulina evermanni en el golfo de California","Clasificacion Taxonomica Completa de Cingulina evermanni","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Turbonilla (Cingulina) evermanni","Cingulina evermanni"
"754","Distribucion de Cirolana diminuta en el golfo de California","Clasificacion Taxonomica Completa de Cirolana diminuta","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Cirolana diminuta"
"755","Distribucion de Cirolana harfordi en el golfo de California","Clasificacion Taxonomica Completa de Cirolana harfordi","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Cirolana harfordi"
"756","Distribucion de Cirolana neilbrucei en el golfo de California","Clasificacion Taxonomica Completa de Cirolana neilbrucei","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Cirolana neilbrucei"
"757","Distribucion de Cirolana parva en el golfo de California","Clasificacion Taxonomica Completa de Cirolana parva","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Cirolana parva"
"758","Distribucion de Cirratulus cirratus en el golfo de California","Clasificacion Taxonomica Completa de Cirratulus cirratus","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Cirratulus cirratus"
"759","Distribucion de Cirratulus cirratus en el golfo de California","Clasificacion Taxonomica Completa de Cirratulus cirratus","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Cirratulus cirratus"
"760","Distribucion de Cirratulus cirratus en el golfo de California","Clasificacion Taxonomica Completa de Cirratulus cirratus","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Promenia spectabilis Kinberg, 1866; Cirratulus robustus Johnson, 1901","Cirratulus cirratus"
"761","Distribucion de Cirriformia luxuriosa en el golfo de California","Clasificacion Taxonomica Completa de Cirriformia luxuriosa","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Cirratulus luxuriosus","Cirriformia luxuriosa"
"762","Distribucion de Cirriformia spirabrancha en el golfo de California","Clasificacion Taxonomica Completa de Cirriformia spirabrancha","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Cirratulus spirabranchus","Cirriformia spirabrancha"
"763","Distribucion de Cirsotrema togatum en el golfo de California","Clasificacion Taxonomica Completa de Cirsotrema togatum","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Epitonium togatum","Cirsotrema togatum"
"764","Distribucion de Cirsotrema vulpinum en el golfo de California","Clasificacion Taxonomica Completa de Cirsotrema vulpinum","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Scalaria vulpinum; C. pentedesmium Berry, 1963","Cirsotrema vulpinum"
"765","Distribucion de Clastotoechus diffractus en el golfo de California","Clasificacion Taxonomica Completa de Clastotoechus diffractus","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Petrolisthes diffractus","Clastotoechus diffractus"
"766","Distribucion de Clathria pennata en el golfo de California","Clasificacion Taxonomica Completa de Clathria pennata","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Microciona pennata; Ophlitaspongia pennata","Clathria pennata"
"767","Distribucion de Clathurella maryae en el golfo de California","Clasificacion Taxonomica Completa de Clathurella maryae","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Clathurella maryae"
"768","Distribucion de Clathurella rava en el golfo de California","Clasificacion Taxonomica Completa de Clathurella rava","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Clavatula rava; Defrancia serrata Carpenter, 1856; Philbertia telamon Dall, 1919","Clathurella rava"
"769","Distribucion de Clathurella rigida en el golfo de California","Clasificacion Taxonomica Completa de Clathurella rigida","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Clavatula rigida; C. affinis Dall, 1871","Clathurella rigida"
"770","Distribucion de Clavelina fasciculata en el golfo de California","Clasificacion Taxonomica Completa de Clavelina fasciculata","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Clavelina fasciculata"
"771","Distribucion de Clavistrombina clavulus en el golfo de California","Clasificacion Taxonomica Completa de Clavistrombina clavulus","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion ","Clavistrombina clavulus"
"772","Distribucion de Clavopora occidentalis en el golfo de California","Clasificacion Taxonomica Completa de Clavopora occidentalis","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Ascorhiza occidentalis","Clavopora occidentalis"
"773","Distribucion de Cleantioides occidentalis en el golfo de California","Clasificacion Taxonomica Completa de Cleantioides occidentalis","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Cleantis occidentalis","Cleantioides occidentalis"
"774","Distribucion de Cleidochasma contracta en el golfo de California","Clasificacion Taxonomica Completa de Cleidochasma contracta","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Lepralia contracta","Cleidochasma contracta"
"775","Distribucion de Cleidochasma porcellana en el golfo de California","Clasificacion Taxonomica Completa de Cleidochasma porcellana","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Lepralia porcellana","Cleidochasma porcellana"
"776","Distribucion de Clementia solida en el golfo de California","Clasificacion Taxonomica Completa de Clementia solida","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Clementia solida"
"777","Distribucion de Clibanarius albidigitus en el golfo de California","Clasificacion Taxonomica Completa de Clibanarius albidigitus","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Clibanarius albidigitus"
"778","Distribucion de Clibanarius digueti en el golfo de California","Clasificacion Taxonomica Completa de Clibanarius digueti","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Clibanarius digueti"
"779","Distribucion de Clibanarius janethaigae en el golfo de California","Clasificacion Taxonomica Completa de Clibanarius janethaigae","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Clibanarius janethaigae"
"780","Distribucion de Clibanarius panamensis en el golfo de California","Clasificacion Taxonomica Completa de Clibanarius panamensis","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Clibanarius panamensis"
"781","Distribucion de Cliona amplicavata en el golfo de California","Clasificacion Taxonomica Completa de Cliona amplicavata","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion ","Cliona amplicavata"
"782","Distribucion de Cliona californiana en el golfo de California","Clasificacion Taxonomica Completa de Cliona californiana","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Pseudosuberites pseudos Dickinson, 1945; Cliona celata var. californiana de Laubenfels, 1932; Cliona","Cliona californiana"
"783","Distribucion de Cliona euryphylla en el golfo de California","Clasificacion Taxonomica Completa de Cliona euryphylla","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion ","Cliona euryphylla"
"784","Distribucion de Cliona flavifodina en el golfo de California","Clasificacion Taxonomica Completa de Cliona flavifodina","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion ","Cliona flavifodina"
"785","Distribucion de Cliona mucronata en el golfo de California","Clasificacion Taxonomica Completa de Cliona mucronata","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion ","Cliona mucronata"
"786","Distribucion de Cliona pocillopora en el golfo de California","Clasificacion Taxonomica Completa de Cliona pocillopora","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion ","Cliona pocillopora"
"787","Distribucion de Cliona raromicrosclera en el golfo de California","Clasificacion Taxonomica Completa de Cliona raromicrosclera","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Delaubenfelsia raromicrosclera Dickinson, 1945","Cliona raromicrosclera"
"788","Distribucion de Cliona vallartense en el golfo de California","Clasificacion Taxonomica Completa de Cliona vallartense","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion ","Cliona vallartense"
"789","Distribucion de Cliona sp. 1 en el golfo de California","Clasificacion Taxonomica Completa de Cliona sp. 1","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Cliona sp. 1"
"790","Distribucion de Cliona vermifera en el golfo de California","Clasificacion Taxonomica Completa de Cliona vermifera","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Bernatia vermifera Rosell & Uriz, 1997","Cliona vermifera"
"791","Distribucion de Cliona microstrongylata en el golfo de California","Clasificacion Taxonomica Completa de Cliona microstrongylata","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Cliona microstrongylata"
"792","Distribucion de Cliona papillae en el golfo de California","Clasificacion Taxonomica Completa de Cliona papillae","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Cliona papillae"
"793","Distribucion de Cloridopsis dubia en el golfo de California","Clasificacion Taxonomica Completa de Cloridopsis dubia","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Squilla dubia; Cloridopsis dubia Manning, 1968","Cloridopsis dubia"
"794","Distribucion de Clypeaster europacificus en el golfo de California","Clasificacion Taxonomica Completa de Clypeaster europacificus","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Clypeaster europacificus"
"795","Distribucion de Clypeaster ochrus en el golfo de California","Clasificacion Taxonomica Completa de Clypeaster ochrus","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Clypeaster ochrus"
"796","Distribucion de Clypeaster rotundus en el golfo de California","Clasificacion Taxonomica Completa de Clypeaster rotundus","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Stolonoclypus rotuus; Stoloniclypus rotuus","Clypeaster rotundus"
"797","Distribucion de Clypeaster speciosus en el golfo de California","Clasificacion Taxonomica Completa de Clypeaster speciosus","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Clypeaster testudinarius","Clypeaster speciosus"
"798","Distribucion de Clypeasterophilus ususfructus en el golfo de California","Clasificacion Taxonomica Completa de Clypeasterophilus ususfructus","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Dissodactylus ususfructus","Clypeasterophilus ususfructus"
"799","Distribucion de Clytia acutidentata en el golfo de California","Clasificacion Taxonomica Completa de Clytia acutidentata","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Clytia acutidentata"
"800","Distribucion de Clytia edwardsi en el golfo de California","Clasificacion Taxonomica Completa de Clytia edwardsi","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Campanularia edwardsi","Clytia edwardsi"
"801","Distribucion de Clytia irregularis en el golfo de California","Clasificacion Taxonomica Completa de Clytia irregularis","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Clytia irregularis"
"802","Distribucion de Clytia kincaidi en el golfo de California","Clasificacion Taxonomica Completa de Clytia kincaidi","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Campanularia kincaidi","Clytia kincaidi"
"803","Distribucion de Clytia universitatis en el golfo de California","Clasificacion Taxonomica Completa de Clytia universitatis","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Clytia universitatis"
"804","Distribucion de Cochlespira cedonulli en el golfo de California","Clasificacion Taxonomica Completa de Cochlespira cedonulli","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Pleurotoma cedo-nulli","Cochlespira cedonulli"
"805","Distribucion de Cochliolepis cornis en el golfo de California","Clasificacion Taxonomica Completa de Cochliolepis cornis","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Cochliolepis cornis"
"806","Distribucion de Codakia distinguenda en el golfo de California","Clasificacion Taxonomica Completa de Codakia distinguenda","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Lucina distinguea; Codakia colpoica Dall, 1901; Codakia pinchoti Pilsbry & Lowe, 1932","Codakia distinguenda"
"807","Distribucion de Coenocyathus bowersi en el golfo de California","Clasificacion Taxonomica Completa de Coenocyathus bowersi","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Coenocyathus bowersi"
"808","Distribucion de Colanthura bruscai en el golfo de California","Clasificacion Taxonomica Completa de Colanthura bruscai","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Colanthura bruscai"
"809","Distribucion de Colidotea findleyi en el golfo de California","Clasificacion Taxonomica Completa de Colidotea findleyi","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Colidotea findleyi"
"810","Distribucion de Collodes gibbosus en el golfo de California","Clasificacion Taxonomica Completa de Collodes gibbosus","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Microrhynchus gibbosus","Collodes gibbosus"
"811","Distribucion de Collodes granosus en el golfo de California","Clasificacion Taxonomica Completa de Collodes granosus","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Collodes granosus"
"812","Distribucion de Collodes tenuirostris en el golfo de California","Clasificacion Taxonomica Completa de Collodes tenuirostris","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Collodes tenuirostris"
"813","Distribucion de Collodes tumidus en el golfo de California","Clasificacion Taxonomica Completa de Collodes tumidus","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Collodes tumidus"
"814","Distribucion de Colubraria lucasensis en el golfo de California","Clasificacion Taxonomica Completa de Colubraria lucasensis","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion ?Triton reticulatus Sowerby, 1833; C. soverbii of authors, not of Reeve, 1844","Colubraria lucasensis"
"815","Distribucion de Columbella aureomexicana en el golfo de California","Clasificacion Taxonomica Completa de Columbella aureomexicana","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Pyrene aureola Howard, 1963 (not Duclos in Chenu, 1846)","Columbella aureomexicana"
"816","Distribucion de Columbella fuscata en el golfo de California","Clasificacion Taxonomica Completa de Columbella fuscata","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion C. gibbosa Valenciennes, 1832; C. meleagris a nodalina Kiener, 1840","Columbella fuscata"
"817","Distribucion de Columbella haemastoma en el golfo de California","Clasificacion Taxonomica Completa de Columbella haemastoma","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Columbella haemastoma"
"818","Distribucion de Columbella major en el golfo de California","Clasificacion Taxonomica Completa de Columbella major","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion C. gibbosa Duclos, 1840 (not Valenciennes, 1830)","Columbella major"
"819","Distribucion de Columbella sonsonatensis en el golfo de California","Clasificacion Taxonomica Completa de Columbella sonsonatensis","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Pygmaea sonsonatensis; Columbella festiva Kiener, 1841 (not Laborde, 1830)","Columbella sonsonatensis"
"820","Distribucion de Columbella strombiformis en el golfo de California","Clasificacion Taxonomica Completa de Columbella strombiformis","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Columbella strombiformis; ?Columbella buccinoides Lesson, 1842 (not Sowerby, 1833); C. Bridgesi Reev","Columbella strombiformis"
"821","Distribucion de Compressidens brevicornu en el golfo de California","Clasificacion Taxonomica Completa de Compressidens brevicornu","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Fustiaria brevicornu","Compressidens brevicornu"
"822","Distribucion de Compsodrillia albonodosa en el golfo de California","Clasificacion Taxonomica Completa de Compsodrillia albonodosa","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Drillia albonodosa; Carinodrillia halis soror Pilsbry & Lowe, 1932","Compsodrillia albonodosa"
"823","Distribucion de Compsodrillia alcestis en el golfo de California","Clasificacion Taxonomica Completa de Compsodrillia alcestis","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Clathrodillia alcestis; Carinodrilla dariena Olsson, 1971","Compsodrillia alcestis"
"824","Distribucion de Compsodrillia bicarinata en el golfo de California","Clasificacion Taxonomica Completa de Compsodrillia bicarinata","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Clathrodrillia (Carinodrillia) bicarinata","Compsodrillia bicarinata"
"825","Distribucion de Compsodrillia duplicata en el golfo de California","Clasificacion Taxonomica Completa de Compsodrillia duplicata","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion ","Compsodrillia duplicata"
"826","Distribucion de Compsodrillia excentrica en el golfo de California","Clasificacion Taxonomica Completa de Compsodrillia excentrica","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion ","Compsodrillia excentrica"
"827","Distribucion de Compsodrillia haliplexa en el golfo de California","Clasificacion Taxonomica Completa de Compsodrillia haliplexa","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Clathrodrillia (Carinodrillia) haliplexa","Compsodrillia haliplexa"
"828","Distribucion de Compsodrillia jaculum en el golfo de California","Clasificacion Taxonomica Completa de Compsodrillia jaculum","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Carinodrillia jaculum","Compsodrillia jaculum"
"829","Distribucion de Compsodrillia olssoni en el golfo de California","Clasificacion Taxonomica Completa de Compsodrillia olssoni","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Compsodrillia olssoni"
"830","Distribucion de Compsodrillia opaca en el golfo de California","Clasificacion Taxonomica Completa de Compsodrillia opaca","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Compsodrillia opaca"
"831","Distribucion de Compsodrillia thestia en el golfo de California","Clasificacion Taxonomica Completa de Compsodrillia thestia","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Clathrodrillia thestia","Compsodrillia thestia"
"832","Distribucion de Compsomyax subdiaphana en el golfo de California","Clasificacion Taxonomica Completa de Compsomyax subdiaphana","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Oedalia subdiaphana; Saxidomus gibbosus Gabb, 1869; Callista subdiaphana pedroana Arnold, 1903; Clem","Compsomyax subdiaphana"
"833","Distribucion de Conchocele barbarensis en el golfo de California","Clasificacion Taxonomica Completa de Conchocele barbarensis","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Cryptodon barbarensis","Conchocele barbarensis"
"834","Distribucion de Conchoderma virgatum en el golfo de California","Clasificacion Taxonomica Completa de Conchoderma virgatum","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Conchoderma virgatum"
"835","Distribucion de Condylocardia digueti en el golfo de California","Clasificacion Taxonomica Completa de Condylocardia digueti","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Condylocardia digueti"
"836","Distribucion de Conilera bullisi en el golfo de California","Clasificacion Taxonomica Completa de Conilera bullisi","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Conilera bullisi"
"837","Distribucion de Conopea galeata en el golfo de California","Clasificacion Taxonomica Completa de Conopea galeata","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Balanus (Conopea) galeatus; Lepas galeata","Conopea galeata"
"838","Distribucion de Conopeum commensale en el golfo de California","Clasificacion Taxonomica Completa de Conopeum commensale","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Conopeum commensale"
"839","Distribucion de Conualevia mizuna en el golfo de California","Clasificacion Taxonomica Completa de Conualevia mizuna","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Conualevia mizuna"
"840","Distribucion de Conus dalli en el golfo de California","Clasificacion Taxonomica Completa de Conus dalli","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Conus dalli"
"841","Distribucion de Conus orion en el golfo de California","Clasificacion Taxonomica Completa de Conus orion","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion C. drangai Schwengel, 1955","Conus orion"
"842","Distribucion de Conus purpurascens en el golfo de California","Clasificacion Taxonomica Completa de Conus purpurascens","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion C. regalitatis Sowerby, 1834; C. comptus Gould, 1853","Conus purpurascens"
"843","Distribucion de Conus vittatus en el golfo de California","Clasificacion Taxonomica Completa de Conus vittatus","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Conus vittatus"
"844","Distribucion de Conus arcuatus en el golfo de California","Clasificacion Taxonomica Completa de Conus arcuatus","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion C. borneensis Adams &  Reeve, 1848; C. Lizardensis Crosse, 1865","Conus arcuatus"
"845","Distribucion de Conus diadema en el golfo de California","Clasificacion Taxonomica Completa de Conus diadema","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion C. prytanis Sowerby, 1882; C. d. pemphigus Dall, 1910","Conus diadema"
"846","Distribucion de Conus gladiator en el golfo de California","Clasificacion Taxonomica Completa de Conus gladiator","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion C. tribunis Crosse, 1865","Conus gladiator"
"847","Distribucion de Conus orbignyi en el golfo de California","Clasificacion Taxonomica Completa de Conus orbignyi","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Conus planicostatus Sowerby, 1833","Conus orbignyi"
"848","Distribucion de Conus princeps en el golfo de California","Clasificacion Taxonomica Completa de Conus princeps","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion C. regius Hwass in Bruguiere, 1792 (not Gmelin, 1791); C. lineolatus Valenciennes, 1832; C. apogramm","Conus princeps"
"849","Distribucion de Conus tiaratus en el golfo de California","Clasificacion Taxonomica Completa de Conus tiaratus","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion C. roosevelti Bartsch & Rehder, 1939","Conus tiaratus"
"850","Distribucion de Conus lucidus en el golfo de California","Clasificacion Taxonomica Completa de Conus lucidus","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion C. reticulatus Sowerby, 1834 (not Born, 1778)","Conus lucidus"
"851","Distribucion de Conus poormani en el golfo de California","Clasificacion Taxonomica Completa de Conus poormani","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion C. reticulatus Sowerby, 1834 (not Born, 1778); C. loomisi Dall & Ochsner, 1928","Conus poormani"
"852","Distribucion de Conus archon en el golfo de California","Clasificacion Taxonomica Completa de Conus archon","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion C. sanguineus Kiener, 1849","Conus archon"
"853","Distribucion de Conus recurvus en el golfo de California","Clasificacion Taxonomica Completa de Conus recurvus","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion C. incurvus Swerby, 1833; C. scariphus Dall, 1910","Conus recurvus"
"854","Distribucion de Conus regularis en el golfo de California","Clasificacion Taxonomica Completa de Conus regularis","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion C. monilifer Broderip, 1833; C. syriacus Sowerby, 1833; C. angulatus A. adams, 1854; C. magdalenensi","Conus regularis"
