"","Especie","KeyA","KeyB","Registro_A","Registro_B"
"100","Dictyosphaeria versluysii","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Dictyosphaeria versluysii en la costa del Pacifico","Primer registro  Dictyosphaeria versluysii en la costa del Pacifico"
"101","Phyllodictyon anastomosans","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Phyllodictyon anastomosans en la costa del Pacifico","Primer registro  Phyllodictyon anastomosans en la costa del Pacifico"
"102","Phyllodictyon pulcherrimum","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Phyllodictyon pulcherrimum en la costa del Pacifico","Primer registro  Phyllodictyon pulcherrimum en la costa del Pacifico"
"103","Siphonocladus pusilloides","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Siphonocladus pusilloides en la costa del Pacifico","Primer registro  Siphonocladus pusilloides en la costa del Pacifico"
"104","Siphonocladus tropicus","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Siphonocladus tropicus en la costa del Pacifico","Primer registro  Siphonocladus tropicus en la costa del Pacifico"
"105","Struveopsis robusta","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Struveopsis robusta en la costa del Pacifico","Primer registro  Struveopsis robusta en la costa del Pacifico"
"106","Ernodesmis verticillata","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Ernodesmis verticillata en la costa del Pacifico","Primer registro  Ernodesmis verticillata en la costa del Pacifico"
"107","Valonia macrophysa","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Valonia macrophysa en la costa del Pacifico","Primer registro  Valonia macrophysa en la costa del Pacifico"
"108","Valoniopsis hancockii","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Valoniopsis hancockii en la costa del Pacifico","Primer registro  Valoniopsis hancockii en la costa del Pacifico"
"109","Valoniopsis pachynema","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Valoniopsis pachynema en la costa del Pacifico","Primer registro  Valoniopsis pachynema en la costa del Pacifico"
"110","Bryopsis corticulans","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Bryopsis corticulans en la costa del Pacifico","Primer registro  Bryopsis corticulans en la costa del Pacifico"
"111","Bryopsis galapagensis","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Bryopsis galapagensis en la costa del Pacifico","Primer registro  Bryopsis galapagensis en la costa del Pacifico"
"112","Bryopsis hypnoides","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Bryopsis hypnoides en la costa del Pacifico","Primer registro  Bryopsis hypnoides en la costa del Pacifico"
"113","Bryopsis muscosa","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Bryopsis muscosa en la costa del Pacifico","Primer registro  Bryopsis muscosa en la costa del Pacifico"
"114","Bryopsis pennata (pennata)","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Bryopsis pennata (pennata) en la costa del Pacifico","Primer registro  Bryopsis pennata (pennata) en la costa del Pacifico"
"115","Bryopsis pennata","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Bryopsis pennata en la costa del Pacifico","Primer registro  Bryopsis pennata en la costa del Pacifico"
"116","Bryopsis plumosa","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Bryopsis plumosa en la costa del Pacifico","Primer registro  Bryopsis plumosa en la costa del Pacifico"
"117","Derbesia hollenbergii","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Derbesia hollenbergii en la costa del Pacifico","Primer registro  Derbesia hollenbergii en la costa del Pacifico"
"118","Derbesia lamourouxii","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Derbesia lamourouxii en la costa del Pacifico","Primer registro  Derbesia lamourouxii en la costa del Pacifico"
"119","Derbesia marina","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Derbesia marina en la costa del Pacifico","Primer registro  Derbesia marina en la costa del Pacifico"
"120","Derbesia prolifica","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Derbesia prolifica en la costa del Pacifico","Primer registro  Derbesia prolifica en la costa del Pacifico"
"121","Derbesia tenuissima","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Derbesia tenuissima en la costa del Pacifico","Primer registro  Derbesia tenuissima en la costa del Pacifico"
"122","Derbesia turbinata","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Derbesia turbinata en la costa del Pacifico","Primer registro  Derbesia turbinata en la costa del Pacifico"
"123","Pseudobryopsis hainanensis","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Pseudobryopsis hainanensis en la costa del Pacifico","Primer registro  Pseudobryopsis hainanensis en la costa del Pacifico"
"124","Caulerpa ambigua (ambiguia)","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Caulerpa ambigua (ambiguia) en la costa del Pacifico","Primer registro  Caulerpa ambigua (ambiguia) en la costa del Pacifico"
"125","Caulerpa ambigua (luxurians)","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Caulerpa ambigua (luxurians) en la costa del Pacifico","Primer registro  Caulerpa ambigua (luxurians) en la costa del Pacifico"
"126","Caulerpa arenicola","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Caulerpa arenicola en la costa del Pacifico","Primer registro  Caulerpa arenicola en la costa del Pacifico"
"127","Caulerpa cupressoides (cupressoides)","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Caulerpa cupressoides (cupressoides) en la costa del Pacifico","Primer registro  Caulerpa cupressoides (cupressoides) en la costa del Pacifico"
"128","Caulerpa cupressoides (lycopodium)","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Caulerpa cupressoides (lycopodium) en la costa del Pacifico","Primer registro  Caulerpa cupressoides (lycopodium) en la costa del Pacifico"
"129","Caulerpa fastigiata","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Caulerpa fastigiata en la costa del Pacifico","Primer registro  Caulerpa fastigiata en la costa del Pacifico"
"130","Caulerpa imbricata","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Caulerpa imbricata en la costa del Pacifico","Primer registro  Caulerpa imbricata en la costa del Pacifico"
"131","Caulerpa mexicana","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Caulerpa mexicana en la costa del Pacifico","Primer registro  Caulerpa mexicana en la costa del Pacifico"
"132","Caulerpa mexicana (pectinata)","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Caulerpa mexicana (pectinata) en la costa del Pacifico","Primer registro  Caulerpa mexicana (pectinata) en la costa del Pacifico"
"133","Caulerpa peltata","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Caulerpa peltata en la costa del Pacifico","Primer registro  Caulerpa peltata en la costa del Pacifico"
"134","Caulerpa racemosa","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Caulerpa racemosa en la costa del Pacifico","Primer registro  Caulerpa racemosa en la costa del Pacifico"
"135","Caulerpa racemosa (racemosa)","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Caulerpa racemosa (racemosa) en la costa del Pacifico","Primer registro  Caulerpa racemosa (racemosa) en la costa del Pacifico"
"136","Caulerpa racemosa (macrophysa)","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Caulerpa racemosa (macrophysa) en la costa del Pacifico","Primer registro  Caulerpa racemosa (macrophysa) en la costa del Pacifico"
"137","Caulerpa racemosa (occidentalis)","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Caulerpa racemosa (occidentalis) en la costa del Pacifico","Primer registro  Caulerpa racemosa (occidentalis) en la costa del Pacifico"
"138","Caulerpa racemosa (turninata)","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Caulerpa racemosa (turninata) en la costa del Pacifico","Primer registro  Caulerpa racemosa (turninata) en la costa del Pacifico"
"139","Caulerpa sertularioides","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Caulerpa sertularioides en la costa del Pacifico","Primer registro  Caulerpa sertularioides en la costa del Pacifico"
"140","Caulerpa sertularioides (brevipes)","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Caulerpa sertularioides (brevipes) en la costa del Pacifico","Primer registro  Caulerpa sertularioides (brevipes) en la costa del Pacifico"
"141","Caulerpa sertularioides (longiseta)","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Caulerpa sertularioides (longiseta) en la costa del Pacifico","Primer registro  Caulerpa sertularioides (longiseta) en la costa del Pacifico"
"142","Caulerpa vanbosseae","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Caulerpa vanbosseae en la costa del Pacifico","Primer registro  Caulerpa vanbosseae en la costa del Pacifico"
"143","Caulerpa verticillata","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Caulerpa verticillata en la costa del Pacifico","Primer registro  Caulerpa verticillata en la costa del Pacifico"
"144","Codium amplivesciculatum","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Codium amplivesciculatum en la costa del Pacifico","Primer registro  Codium amplivesciculatum en la costa del Pacifico"
"145","Codium brandegeei","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Codium brandegeei en la costa del Pacifico","Primer registro  Codium brandegeei en la costa del Pacifico"
"146","Codium dawsonii","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Codium dawsonii en la costa del Pacifico","Primer registro  Codium dawsonii en la costa del Pacifico"
"147","Codium decorticatum","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Codium decorticatum en la costa del Pacifico","Primer registro  Codium decorticatum en la costa del Pacifico"
"148","Codium dichotomum","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Codium dichotomum en la costa del Pacifico","Primer registro  Codium dichotomum en la costa del Pacifico"
"149","Codium fragile","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Codium fragile en la costa del Pacifico","Primer registro  Codium fragile en la costa del Pacifico"
"150","Codium giraffa","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Codium giraffa en la costa del Pacifico","Primer registro  Codium giraffa en la costa del Pacifico"
"151","Codium hubbsii","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Codium hubbsii en la costa del Pacifico","Primer registro  Codium hubbsii en la costa del Pacifico"
"152","Codium isabelae","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Codium isabelae en la costa del Pacifico","Primer registro  Codium isabelae en la costa del Pacifico"
"153","Codium johnstonei","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Codium johnstonei en la costa del Pacifico","Primer registro  Codium johnstonei en la costa del Pacifico"
"154","Codium latum","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Codium latum en la costa del Pacifico","Primer registro  Codium latum en la costa del Pacifico"
"155","Codium picturatum","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Codium picturatum en la costa del Pacifico","Primer registro  Codium picturatum en la costa del Pacifico"
"156","Codium schmiederi","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Codium schmiederi en la costa del Pacifico","Primer registro  Codium schmiederi en la costa del Pacifico"
"157","Codium setchellii","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Codium setchellii en la costa del Pacifico","Primer registro  Codium setchellii en la costa del Pacifico"
"158","Codium simulans","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Codium simulans en la costa del Pacifico","Primer registro  Codium simulans en la costa del Pacifico"
"159","Halimeda cuneata","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Halimeda cuneata en la costa del Pacifico","Primer registro  Halimeda cuneata en la costa del Pacifico"
"160","Halimeda discoidea","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Halimeda discoidea en la costa del Pacifico","Primer registro  Halimeda discoidea en la costa del Pacifico"
"161","Halimeda hederacea","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Halimeda hederacea en la costa del Pacifico","Primer registro  Halimeda hederacea en la costa del Pacifico"
"162","Halimeda opuntia","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Halimeda opuntia en la costa del Pacifico","Primer registro  Halimeda opuntia en la costa del Pacifico"
"163","Halimeda scabra","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Halimeda scabra en la costa del Pacifico","Primer registro  Halimeda scabra en la costa del Pacifico"
"164","Halimeda tuna","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Halimeda tuna en la costa del Pacifico","Primer registro  Halimeda tuna en la costa del Pacifico"
"165","Ostreobium quekettii","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Ostreobium quekettii en la costa del Pacifico","Primer registro  Ostreobium quekettii en la costa del Pacifico"
"166","Chlorodesmis caespitosa","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Chlorodesmis caespitosa en la costa del Pacifico","Primer registro  Chlorodesmis caespitosa en la costa del Pacifico"
"167","Chlorodesmis hildebrandtii","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Chlorodesmis hildebrandtii en la costa del Pacifico","Primer registro  Chlorodesmis hildebrandtii en la costa del Pacifico"
"168","Geppella decussata","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Geppella decussata en la costa del Pacifico","Primer registro  Geppella decussata en la costa del Pacifico"
"169","Penicillus sibogae","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Penicillus sibogae en la costa del Pacifico","Primer registro  Penicillus sibogae en la costa del Pacifico"
"170","Batophora oerstedii","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Batophora oerstedii en la costa del Pacifico","Primer registro  Batophora oerstedii en la costa del Pacifico"
"171","Neomeris annulata","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Neomeris annulata en la costa del Pacifico","Primer registro  Neomeris annulata en la costa del Pacifico"
"172","Neomeris van-bosseae","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Neomeris van-bosseae en la costa del Pacifico","Primer registro  Neomeris van-bosseae en la costa del Pacifico"
"173","Acetabularia calyculus","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Acetabularia calyculus en la costa del Pacifico","Primer registro  Acetabularia calyculus en la costa del Pacifico"
"174","Acetabularia crenulata","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Acetabularia crenulata en la costa del Pacifico","Primer registro  Acetabularia crenulata en la costa del Pacifico"
"175","Acetabularia farlowii","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Acetabularia farlowii en la costa del Pacifico","Primer registro  Acetabularia farlowii en la costa del Pacifico"
"176","Acetabularia parvula","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Acetabularia parvula en la costa del Pacifico","Primer registro  Acetabularia parvula en la costa del Pacifico"
"177","Acetabularia pusilla","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Acetabularia pusilla en la costa del Pacifico","Primer registro  Acetabularia pusilla en la costa del Pacifico"
"178","Pilinella californica","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Pilinella californica en la costa del Pacifico","Primer registro  Pilinella californica en la costa del Pacifico"
"179","Pilinia maritima","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Pilinia maritima en la costa del Pacifico","Primer registro  Pilinia maritima en la costa del Pacifico"
