MMID,Short_Title,Keywords,Author,Institution,Dataset_Available,Subject_name,Area,Region,Location,Start_Year,End_Year,Data_Time_Points,Unit_Type,Temporal_Resolution,Spatial_Resolution,Dataset_Title,Compilation_Title,Publication_Year,Reference,Available_Metadata,Metadata_name,User_Contact,Institution_Type,Research_Fund,Research_Field,SE_Interaction,Data_Uncertanty,Notes,Lat,Long
568,Reconstructed Catch of Epinephelus in Mexico (Pacific),Captura;  Reconstruida;  Pacifico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Epinephelus,Andres Cisneros-Montemayor,SAU,1,Epinephelus,Pacific,NA,NA,1950,2010,61,Weight,Year,Area,SAU eeZ 945 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/945?chart=catch-chart&dimension=taxon&measure=tonnage&limit=93,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,17,-111
569,Reconstructed Catch of Chondrichtyes in Mexico (Pacific),Captura;  Reconstruida;  Pacifico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Chondrichtyes,Andres Cisneros-Montemayor,SAU,1,Chondrichtyes,Pacific,NA,NA,1968,1975,4,Weight,Year,Area,SAU eeZ 945 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/945?chart=catch-chart&dimension=taxon&measure=tonnage&limit=94,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,21,-114
570,Reconstructed Catch of Elasmobranchii in Mexico (Pacific),Captura;  Reconstruida;  Pacifico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Elasmobranchii,Andres Cisneros-Montemayor,SAU,1,Elasmobranchii,Pacific,NA,NA,1950,2010,61,Weight,Year,Area,SAU eeZ 945 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/945?chart=catch-chart&dimension=taxon&measure=tonnage&limit=95,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,20,-111
571,Reconstructed Catch of Carcharhinus in Mexico (Pacific),Captura;  Reconstruida;  Pacifico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Carcharhinus,Andres Cisneros-Montemayor,SAU,1,Carcharhinus,Pacific,NA,NA,1950,2010,61,Weight,Year,Area,SAU eeZ 945 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/945?chart=catch-chart&dimension=taxon&measure=tonnage&limit=96,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,19,-112
572,Reconstructed Catch of Tetrapturus angustirostris in Mexico (Pacific),Captura;  Reconstruida;  Pacifico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Tetrapturus angustirostris,Andres Cisneros-Montemayor,SAU,1,Tetrapturus angustirostris,Pacific,NA,NA,1988,2010,18,Weight,Year,Area,SAU eeZ 945 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/945?chart=catch-chart&dimension=taxon&measure=tonnage&limit=97,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,24,-114
573,Reconstructed Catch of Isurus oxyrinchus in Mexico (Pacific),Captura;  Reconstruida;  Pacifico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Isurus oxyrinchus,Andres Cisneros-Montemayor,SAU,1,Isurus oxyrinchus,Pacific,NA,NA,1982,2010,22,Weight,Year,Area,SAU eeZ 945 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/945?chart=catch-chart&dimension=taxon&measure=tonnage&limit=98,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,30,-111
574,Reconstructed Catch of Strongylocentrotus in Mexico (Pacific),Captura;  Reconstruida;  Pacifico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Strongylocentrotus,Andres Cisneros-Montemayor,SAU,1,Strongylocentrotus,Pacific,NA,NA,1972,2010,39,Weight,Year,Area,SAU eeZ 945 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/945?chart=catch-chart&dimension=taxon&measure=tonnage&limit=99,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,24,-111
575,Reconstructed Catch of Carcharhinus falciformis in Mexico (Pacific),Captura;  Reconstruida;  Pacifico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Carcharhinus falciformis,Andres Cisneros-Montemayor,SAU,1,Carcharhinus falciformis,Pacific,NA,NA,1950,2010,61,Weight,Year,Area,SAU eeZ 945 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/945?chart=catch-chart&dimension=taxon&measure=tonnage&limit=100,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,28,-111
576,Reconstructed Catch of Katsuwonus pelamis in Mexico (Pacific),Captura;  Reconstruida;  Pacifico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Katsuwonus pelamis,Andres Cisneros-Montemayor,SAU,1,Katsuwonus pelamis,Pacific,NA,NA,1950,2010,61,Weight,Year,Area,SAU eeZ 945 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/945?chart=catch-chart&dimension=taxon&measure=tonnage&limit=101,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,28,-113
577,Reconstructed Catch of Lutjanidae in Mexico (Pacific),Captura;  Reconstruida;  Pacifico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Lutjanidae,Andres Cisneros-Montemayor,SAU,1,Lutjanidae,Pacific,NA,NA,1950,2010,61,Weight,Year,Area,SAU eeZ 945 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/945?chart=catch-chart&dimension=taxon&measure=tonnage&limit=102,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,18,-110
578,Reconstructed Catch of Achirus in Mexico (Pacific),Captura;  Reconstruida;  Pacifico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Achirus,Andres Cisneros-Montemayor,SAU,1,Achirus,Pacific,NA,NA,1950,2010,61,Weight,Year,Area,SAU eeZ 945 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/945?chart=catch-chart&dimension=taxon&measure=tonnage&limit=103,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,28,-117
579,Reconstructed Catch of Scomberomorus in Mexico (Pacific),Captura;  Reconstruida;  Pacifico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Scomberomorus,Andres Cisneros-Montemayor,SAU,1,Scomberomorus,Pacific,NA,NA,1950,2010,61,Weight,Year,Area,SAU eeZ 945 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/945?chart=catch-chart&dimension=taxon&measure=tonnage&limit=104,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,28,-114
580,Reconstructed Catch of Panulirus in Mexico (Pacific),Captura;  Reconstruida;  Pacifico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Panulirus,Andres Cisneros-Montemayor,SAU,1,Panulirus,Pacific,NA,NA,1950,2010,61,Weight,Year,Area,SAU eeZ 945 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/945?chart=catch-chart&dimension=taxon&measure=tonnage&limit=105,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,22,-110
581,Reconstructed Catch of Epinephelus analogus in Mexico (Pacific),Captura;  Reconstruida;  Pacifico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Epinephelus analogus,Andres Cisneros-Montemayor,SAU,1,Epinephelus analogus,Pacific,NA,NA,1950,2010,61,Weight,Year,Area,SAU eeZ 945 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/945?chart=catch-chart&dimension=taxon&measure=tonnage&limit=106,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,17,-119
582,Reconstructed Catch of Lutjanus guttatus in Mexico (Pacific),Captura;  Reconstruida;  Pacifico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Lutjanus guttatus,Andres Cisneros-Montemayor,SAU,1,Lutjanus guttatus,Pacific,NA,NA,2005,2010,6,Weight,Year,Area,SAU eeZ 945 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/945?chart=catch-chart&dimension=taxon&measure=tonnage&limit=107,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,16,-111
583,Reconstructed Catch of Squillidae in Mexico (Pacific),Captura;  Reconstruida;  Pacifico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Squillidae,Andres Cisneros-Montemayor,SAU,1,Squillidae,Pacific,NA,NA,1950,2010,61,Weight,Year,Area,SAU eeZ 945 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/945?chart=catch-chart&dimension=taxon&measure=tonnage&limit=108,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,23,-111
584,Reconstructed Catch of Sarda orientalis in Mexico (Pacific),Captura;  Reconstruida;  Pacifico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Sarda orientalis,Andres Cisneros-Montemayor,SAU,1,Sarda orientalis,Pacific,NA,NA,1974,1974,1,Weight,Year,Area,SAU eeZ 945 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/945?chart=catch-chart&dimension=taxon&measure=tonnage&limit=109,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,26,-113
585,Reconstructed Catch of Kajikia audax in Mexico (Pacific),Captura;  Reconstruida;  Pacifico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Kajikia audax,Andres Cisneros-Montemayor,SAU,1,Kajikia audax,Pacific,NA,NA,1950,2010,61,Weight,Year,Area,SAU eeZ 945 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/945?chart=catch-chart&dimension=taxon&measure=tonnage&limit=110,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,16,-112
586,Reconstructed Catch of Portunus in Mexico (Pacific),Captura;  Reconstruida;  Pacifico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Portunus,Andres Cisneros-Montemayor,SAU,1,Portunus,Pacific,NA,NA,1950,2010,61,Weight,Year,Area,SAU eeZ 945 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/945?chart=catch-chart&dimension=taxon&measure=tonnage&limit=111,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,19,-117
587,Reconstructed Catch of Portunidae in Mexico (Pacific),Captura;  Reconstruida;  Pacifico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Portunidae,Andres Cisneros-Montemayor,SAU,1,Portunidae,Pacific,NA,NA,1950,2010,61,Weight,Year,Area,SAU eeZ 945 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/945?chart=catch-chart&dimension=taxon&measure=tonnage&limit=112,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,30,-120
588,Reconstructed Catch of Xiphias gladius in Mexico (Pacific),Captura;  Reconstruida;  Pacifico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Xiphias gladius,Andres Cisneros-Montemayor,SAU,1,Xiphias gladius,Pacific,NA,NA,1950,2010,59,Weight,Year,Area,SAU eeZ 945 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/945?chart=catch-chart&dimension=taxon&measure=tonnage&limit=113,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,20,-116
589,Reconstructed Catch of Malacanthidae in Mexico (Pacific),Captura;  Reconstruida;  Pacifico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Malacanthidae,Andres Cisneros-Montemayor,SAU,1,Malacanthidae,Pacific,NA,NA,1950,2010,61,Weight,Year,Area,SAU eeZ 945 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/945?chart=catch-chart&dimension=taxon&measure=tonnage&limit=114,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,17,-117
590,Reconstructed Catch of Totoaba macdonaldi in Mexico (Pacific),Captura;  Reconstruida;  Pacifico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Totoaba macdonaldi,Andres Cisneros-Montemayor,SAU,1,Totoaba macdonaldi,Pacific,NA,NA,1950,2010,61,Weight,Year,Area,SAU eeZ 945 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/945?chart=catch-chart&dimension=taxon&measure=tonnage&limit=115,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,22,-118
591,Reconstructed Catch of Scombroidea in Mexico (Pacific),Captura;  Reconstruida;  Pacifico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Scombroidea,Andres Cisneros-Montemayor,SAU,1,Scombroidea,Pacific,NA,NA,1970,1975,6,Weight,Year,Area,SAU eeZ 945 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/945?chart=catch-chart&dimension=taxon&measure=tonnage&limit=116,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,29,-113
592,Reconstructed Catch of Veneridae in Mexico (Pacific),Captura;  Reconstruida;  Pacifico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Veneridae,Andres Cisneros-Montemayor,SAU,1,Veneridae,Pacific,NA,NA,1950,2010,61,Weight,Year,Area,SAU eeZ 945 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/945?chart=catch-chart&dimension=taxon&measure=tonnage&limit=117,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,25,-110
593,Reconstructed Catch of Cynoscion in Mexico (Pacific),Captura;  Reconstruida;  Pacifico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Cynoscion,Andres Cisneros-Montemayor,SAU,1,Cynoscion,Pacific,NA,NA,1962,2010,46,Weight,Year,Area,SAU eeZ 945 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/945?chart=catch-chart&dimension=taxon&measure=tonnage&limit=118,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,17,-120
594,Reconstructed Catch of Litopenaeus vannamei in Mexico (Pacific),Captura;  Reconstruida;  Pacifico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Litopenaeus vannamei,Andres Cisneros-Montemayor,SAU,1,Litopenaeus vannamei,Pacific,NA,NA,1950,2010,61,Weight,Year,Area,SAU eeZ 945 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/945?chart=catch-chart&dimension=taxon&measure=tonnage&limit=119,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,20,-119
595,Reconstructed Catch of Lutjanus argentiventris in Mexico (Pacific),Captura;  Reconstruida;  Pacifico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Lutjanus argentiventris,Andres Cisneros-Montemayor,SAU,1,Lutjanus argentiventris,Pacific,NA,NA,1950,2010,61,Weight,Year,Area,SAU eeZ 945 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/945?chart=catch-chart&dimension=taxon&measure=tonnage&limit=120,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,26,-119
596,Reconstructed Catch of Thunnus albacares in Mexico (Pacific),Captura;  Reconstruida;  Pacifico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Thunnus albacares,Andres Cisneros-Montemayor,SAU,1,Thunnus albacares,Pacific,NA,NA,1950,2010,60,Weight,Year,Area,SAU eeZ 945 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/945?chart=catch-chart&dimension=taxon&measure=tonnage&limit=121,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,18,-112
597,Reconstructed Catch of Farfantepenaeus californiensis in Mexico (Pacific),Captura;  Reconstruida;  Pacifico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Farfantepenaeus californiensis,Andres Cisneros-Montemayor,SAU,1,Farfantepenaeus californiensis,Pacific,NA,NA,1950,2010,61,Weight,Year,Area,SAU eeZ 945 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/945?chart=catch-chart&dimension=taxon&measure=tonnage&limit=122,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,29,-119
598,Reconstructed Catch of Seriola lalandi in Mexico (Pacific),Captura;  Reconstruida;  Pacifico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Seriola lalandi,Andres Cisneros-Montemayor,SAU,1,Seriola lalandi,Pacific,NA,NA,1950,2010,61,Weight,Year,Area,SAU eeZ 945 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/945?chart=catch-chart&dimension=taxon&measure=tonnage&limit=123,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,26,-119
599,National (State) Protected Areas of Mexico,reserva; biosfera; parque; monumento natural; recursos,CONANP,CONANP,1,MPA,National,NA,NA,2012,2016,3,Shapefile,Year,Georeference,"areas naturales Protegidas Federales de Mexico, Agosto 2012",Catalogo de metadatos geograficos,2012,http://www.conabio.gob.mx/informacion/gis/?vns=gis_root/region/biotic/anpe09gw,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Conservation,Response,NA,NA,NA,NA
600,National (State) Protected Areas of Mexico,reserva; biosfera; parque; monumento natural; recursos,CONANP,CONANP,1,MPA,National,NA,NA,2012,2016,3,Shapefile,Year,Georeference,"areas naturales Protegidas Federales de Mexico, Agosto 2012",Catalogo de metadatos geograficos,2012,http://www.conabio.gob.mx/informacion/gis/?vns=gis_root/region/biotic/anpe09gw,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Conservation,Response,NA,NA,NA,NA
601,"areas de importancia para la conservacion de las aves, 2015",area;  importancia;  aves;  Conservacion;  regionalizacion,INEGI,CONABIO,1,Pajaros,National,NA,NA,2012,2012,1,Shapefile,Year,Georeference,"areas de importancia para la conservacion de las aves, 2015",Catalogo de metadatos geograficos,2015,http://www.conabio.gob.mx/informacion/gis/?vns=gis_root/region/biotic/anpe09gw,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Conservation,State,NA,NA,NA,NA
602,Priority Hidrologic Regions,regionalizatcion;  biotico;  regiones;  hidrologicas;  prioridades,"L., V. Aguilar, J. Alcocer.",CONABIO,1,Cuerspos de Agua,National,NA,NA,2002,2002,1,Shapefile,Year,Georeference,Regiones Hidrologicas Prioritarias,Catalogo de metadatos geograficos,2002,http://www.conabio.gob.mx/informacion/gis/?vns=gis_root/region/biotic/anpe09gw,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Conservation,State,NA,NA,NA,NA
603,Regiones Marinas Prioritarias,Regiones Marinas Prioritarias de Mexico,CONABIO,CONABIO,1,Region Marina,National,NA,NA,2008,2008,1,Shapefile,Year,Georeference,Regiones Marinas Prioritarias de Mexico,Catalogo de metadatos geograficos,2002,http://www.conabio.gob.mx/informacion/gis/?vns=gis_root/region/biotic/anpe09gw,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Conservation,State,NA,NA,NA,NA
604,Priority Marine Regions for Biodiversity Conservation,Prioridad ;Marina; Regiones; Biodiversidad; Conservacion; Area,INE,CONABIO et al.,1,Region Marina,National,NA,NA,2009,2009,1,Shapefile,Year,Georeference,Sitios prioritarios marinos para la conservacion de la biodiversidad,Catalogo de metadatos geograficos,2002,http://www.conabio.gob.mx/informacion/gis/?vns=gis_root/region/biotic/anpe09gw,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Conservation,State,NA,NA,NA,NA
605,RAMSAR Sites in Mexico,Conservacion; mapa; ramsar; Manglar,CONANP,CONANP,1,Manglar,National,NA,NA,2014,2016,3,Shapefile,Year,Georeference,"Sitios RAMSAR de Mexico 2014, 2015 y 2016 (Subsetted database)",Catalogo de metadatos geograficos,2014,http://www.conabio.gob.mx/informacion/gis/?vns=gis_root/region/biotic/anpe09gw,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Conservation,Response,NA,NA,NA,NA
606,Zoonification of the Protected Area of the Terminos Lagoon,Terminos; laguna; Conservacion; area protegida; zoonificacion; fauna; flora,EPOMEX-UAC,EPOMEX-UAC,1,Terminos,Atlantic,Banco Campeche Caribe,Laguna de Terminos,2000,2000,1,Shapefile,Year,Georeference,"Zoonificacion del Area de Proteccion de Flora y Fauna de la Laguna de Terminos, Campeche",Catalogo de metadatos geograficos,2008,http://www.conabio.gob.mx/informacion/gis/?vns=gis_root/region/biotic/anpe09gw,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Conservation,Response,NA,NA,18.6586,-91.5596
607,Marine Geomorphology,Topografia; fondo oceano; costa; continente; plataforma,"Lugo-Hubp, Jose; Cordova, Carlos-FerNAndez, Arteaga",CONABIO,1,Oceano,National,NA,NA,1990,1990,1,Shapefile,Year,Georeference,Geomorfologia Marina,Catalogo de metadatos geograficos,2008,http://www.conabio.gob.mx/informacion/gis/?vns=gis_root/region/biotic/anpe09gw,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Oceanography,State,NA,NA,NA,NA
608,Geomorphology of Xcalak national Park,Topografia; Xcalak; Arrecife; Caribe; Profundidad,"Hernandez H., et al",CONABIO,1,Xcalak,Atlantic,Banco Campeche Caribe,Xcalak,2010,2010,1,Shapefile,Year,Georeference,Mapa de Batimetria del Parque nacional Arrecifes de Xcalak,Catalogo de metadatos geograficos,2010,http://www.conabio.gob.mx/informacion/gis/?vns=gis_root/region/biotic/anpe09gw,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Oceanography,State,NA,NA,NA,NA
609,Network of Weather Observatories,Climatologia; clima; GPS; estacion,"CONAGUA, et al.",CONABIO,1,Estaciones Climatologicas,National,NA,NA,1999,1999,1,Shapefile,Year,Georeference,Red de Observatorios Climatologicos,Catalogo de metadatos geograficos,2008,http://www.conabio.gob.mx/informacion/gis/?vns=gis_root/region/biotic/anpe09gw,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Oceanography,State,NA,NA,NA,NA
610,Mangrroves of Benito Juarez Municipality ,vegetation;  Manglar ,"Argeomatica, S.A. de C.V.","Argeomatica, S.A. de C.V.",1,Manglar ,Atlantic,Banco Campeche Caribe,Benito Juarez,2004,2004,1,Shapefile,Year,Georeference,Manglares aislados en el municipio Benito Juarez,Catalogo de metadatos geograficos,2010,http://www.conabio.gob.mx/informacion/gis/?vns=gis_root/region/biotic/anpe09gw,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Conservation,State,NA,NA,21.1619,-85.8515
611,Zona Economica Exclusiva (EEZ),mapa; zona Economico; area exclusiva; EEZ,CONABIO,CONABIO,1,EEZ,National,NA,NA,2011,2011,1,Shapefile,Year,Shapefile,Zona economica exclusiva de Mexico. Limimte nacional 1:250000,Catalogo de metadatos geograficos,2011,http://www.conabio.gob.mx/informacion/gis/?vns=gis_root/region/biotic/anpe09gw,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Conservation,State,NA,NA,NA,NA
612,Informacion Social relevante a las costas de Mexico,Social; poblacion; indice social; ,CONABIO,CONABIO,1,Poblacion,National,NA,NA,1990,2010,134,Shapefile,NA,Shapefile,Varias bases de datos,Catalogo de metadatos geograficos,2016,http://www.conabio.gob.mx/informacion/gis/?vns=gis_root/region/biotic/anpe09gw,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Sociology,State,NA,NA,NA,NA
613,Changes in Mangrove surface 1981-2005),Biodiversidad; Cambio; Distribucion; Manglar; manglares; Monitoreo,CONABIO,CONABIO,1,Manglar ,National,NA,NA,1981,2005,1,Shapefile,Year,Shapefile,Cambios de la superficie de los manglares en Mexico (1981-2005),Catalogo de metadatos geograficos,2014,http://www.conabio.gob.mx/informacion/gis/?vns=gis_root/region/biotic/anpe09gw,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Conservation,State,NA,NA,NA,NA
614,Changes in Mangrove surface (2005-2010),Biodiversidad; Cambio; Distribucion; Manglar; manglares; Monitoreo,CONABIO,CONABIO,1,Manglar ,National,NA,NA,2005,2010,1,Shapefile,Year,Shapefile,Cambios de la superficie de los manglares en Mexico (2005-2010),Catalogo de metadatos geograficos,2014,http://www.conabio.gob.mx/informacion/gis/?vns=gis_root/region/biotic/anpe09gw,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Conservation,State,NA,NA,NA,NA
615,Changes in Mangrove surface (2010-2015),Biodiversidad; Cambio; Distribucion; Manglar; manglares; Monitoreo,CONABIO,CONABIO,1,Manglar ,National,NA,NA,2010,2015,1,Shapefile,Year,Shapefile,Cambios de la superficie de los manglares en Mexico (2010-2015),Catalogo de metadatos geograficos,2014,http://www.conabio.gob.mx/informacion/gis/?vns=gis_root/region/biotic/anpe09gw,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Conservation,State,NA,NA,NA,NA
616,Mangrove distribution between (1970-1981),Biodiversidad; Cambio; Distribucion; Manglar; manglares; Monitoreo,CONABIO,CONABIO,1,Manglar ,National,NA,NA,1970,1981,1,Shapefile,Year,Shapefile,Distribucion de los manglares en Mexico entre 1970-1981,Catalogo de metadatos geograficos,2013,http://www.conabio.gob.mx/informacion/gis/?vns=gis_root/region/biotic/anpe09gw,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Conservation,State,NA,NA,NA,NA
