MMID,Short_Title,Keywords,Author,Institution,Dataset_Available,Subject_name,Area,Region,Location,Start_Year,End_Year,Data_Time_Points,Unit_Type,Temporal_Resolution,Spatial_Resolution,Dataset_Title,Compilation_Title,Publication_Year,Reference,Available_Metadata,Metadata_name,User_Contact,Institution_Type,Research_Fund,Research_Field,SE_Interaction,Data_Uncertanty,Time_Series,Notes,Lat,Long
198,Historic Catch of Mojarra for Hidalgo,Mojarra; Captura; Hidalgo ,SAGARPA,SAGARPA;CONAPeSCA,1,Mojarra,,Freshwater/Terrestrial,Hidalgo,2004,2013,10,Weight,Year,State,Mojarra; Hidalgo: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Freshwater/Terrestrial,,,
199,Historic Catch of Ostion for Baja California Sur,Ostion; Captura; BCS ,SAGARPA,SAGARPA;CONAPeSCA,1,Ostion,,Gulf of California,Baja California Sur,2004,2013,10,Weight,Year,State,Ostion; Baja California Sur: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Pacific,,,
200,Historic Catch of Ostion for Sinaloa,Ostion; Captura; Sinaloa ,SAGARPA,SAGARPA;CONAPeSCA,1,Ostion,,Gulf of California,Sinaloa,2004,2013,10,Weight,Year,State,Ostion; Sinaloa: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Pacific,,,
201,Historic Catch of Ostion for Oaxaca,Ostion; Captura; Oaxaca ,SAGARPA,SAGARPA;CONAPeSCA,1,Ostion,,Gulf of Tehantepec,Oaxaca,2004,2013,10,Weight,Year,State,Ostion; Oaxaca: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Pacific,,,
202,Historic Catch of Ostion for Others,Ostion; Captura; Campeche; Jalisco; Michoacan; Sonora ,SAGARPA,SAGARPA;CONAPeSCA,1,Ostion,,,Multiple States,2004,2013,10,Weight,Year,State,Ostion; Otros Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,4,,,
203,Historic Catch of Ostion for Veracruz,Ostion; Captura; Veracruz ,SAGARPA,SAGARPA;CONAPeSCA,1,Ostion,,West Gulf of Mexico,Veracruz,2004,2013,10,Weight,Year,State,Ostion; Veracruz: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Atlantic,,,
204,Historic Catch of Ostion for Tamaulipas,Ostion; Captura; Tamaulipas ,SAGARPA,SAGARPA;CONAPeSCA,1,Ostion,,West Gulf of Mexico,Tamaulipas,2004,2013,10,Weight,Year,State,Ostion; Tamaulipas: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Atlantic,,,
205,Historic Catch of Ostion for Tabasco,Ostion; Captura; Tabasco ,SAGARPA,SAGARPA;CONAPeSCA,1,Ostion,,West Gulf of Mexico,Tabasco,2004,2013,10,Weight,Year,State,Ostion; Tabasco: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Atlantic,,,
206,Historic Catch of Ostion for Guerrero,Ostion; Captura; Guerrero ,SAGARPA,SAGARPA;CONAPeSCA,1,Ostion,,South Pacific,Guerrero,2004,2013,10,Weight,Year,State,Ostion; Guerrero: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Pacific,,,
207,Historic Catch of Ostion for nayarit,Ostion; Captura; nayarit ,SAGARPA,SAGARPA;CONAPeSCA,1,Ostion,,South Pacific,Nayarit,2004,2013,10,Weight,Year,State,Ostion; nayarit: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Pacific,,,
208,Historic Catch of Ostion for Baja California,Ostion; Captura; BC ,SAGARPA,SAGARPA;CONAPeSCA,1,Ostion,,Gulf of California,Baja California,2004,2013,10,Weight,Year,State,Ostion; Baja California: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Pacific,,,
209,Historic Catch of Pulpo for Yucatan,Pulpo; Captura; Yucatan ,SAGARPA,SAGARPA;CONAPeSCA,1,Pulpo,,Yucatan Peninsula,Yucatan Peninsula,2004,2013,10,Weight,Year,State,Pulpo; Yucatan: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Atlantic,,,
210,Historic Catch of Pulpo for Campeche,Pulpo; Captura; Campeche ,SAGARPA,SAGARPA;CONAPeSCA,1,Pulpo,,Yucatan Peninsula,Campeche,2004,2013,10,Weight,Year,State,Pulpo; Campeche: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Atlantic,,,
211,Historic Catch of Pulpo for Jalisco,Pulpo; Captura; Jalisco ,SAGARPA,SAGARPA;CONAPeSCA,1,Pulpo,,South Pacific,Jalisco,2004,2013,10,Weight,Year,State,Pulpo; Jalisco: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Pacific,,,
212,Historic Catch of Pulpo for Baja California Sur,Pulpo; Captura; BCS ,SAGARPA,SAGARPA;CONAPeSCA,1,Pulpo,,Gulf of California,Baja California Sur,2004,2013,10,Weight,Year,State,Pulpo; Baja California Sur: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Pacific,,,
213,Historic Catch of Pulpo for Oaxaca,Pulpo; Captura; Oaxaca ,SAGARPA,SAGARPA;CONAPeSCA,1,Pulpo,,Gulf of Tehantepec,Oaxaca,2004,2013,10,Weight,Year,State,Pulpo; Oaxaca: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Pacific,,,
214,Historic Catch of Pulpo for Others,Pulpo; Captura; Colima;  Guerrero;  Michoacan;  Nayarit;  Quintana Roo;  Sinaloa; Tabasco ,SAGARPA,SAGARPA;CONAPeSCA,1,Pulpo,,,Multiple States,2004,2013,10,Weight,Year,State,Pulpo; Otros Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,7,,,
215,Historic Catch of Pulpo for Veracruz,Pulpo; Captura; Veracruz ,SAGARPA,SAGARPA;CONAPeSCA,1,Pulpo,,West Gulf of Mexico,Veracruz,2004,2013,10,Weight,Year,State,Pulpo; Veracruz: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Atlantic,,,
216,Historic Catch of Pulpo for Guerrero,Pulpo; Captura; Guerrero ,SAGARPA,SAGARPA;CONAPeSCA,1,Pulpo,,South Pacific,Guerrero,2004,2013,10,Weight,Year,State,Pulpo; Guerrero: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Pacific,,,
217,Historic Catch of Pulpo for Baja California,Pulpo; Captura; BC ,SAGARPA,SAGARPA;CONAPeSCA,1,Pulpo,,Gulf of California,Baja California,2004,2013,10,Weight,Year,State,Pulpo; Baja California: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Pacific,,,
218,Historic Catch of Pulpo for Sonora,Pulpo; Captura; Sonora ,SAGARPA,SAGARPA;CONAPeSCA,1,Pulpo,,Gulf of California,Sonora,2004,2013,10,Weight,Year,State,Pulpo; Sonora: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Pacific,,,
219,Historic Catch of Robalo for Chiapas,Robalo; Captura; Chiapas ,SAGARPA,SAGARPA;CONAPeSCA,1,Robalo,,Gulf of Tehantepec,Chiapas,2004,2013,10,Weight,Year,State,Robalo; Chiapas: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Pacific,,,
220,Historic Catch of Robalo for Sinaloa,Robalo; Captura; Sinaloa ,SAGARPA,SAGARPA;CONAPeSCA,1,Robalo,,Gulf of California,Sinaloa,2004,2013,10,Weight,Year,State,Robalo; Sinaloa: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Pacific,,,
221,Historic Catch of Robalo for Others,Robalo; Captura; Baja California;  Baja California Sur;  Colima;  Guerrero;  Michoacan;  Oaxaca;  Quintana Roo;  San Luis Potosi; Sonora ,SAGARPA,SAGARPA;CONAPeSCA,1,Robalo,,,Multiple States,2004,2013,10,Weight,Year,State,Robalo; Otros Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,9,,,
222,Historic Catch of Robalo for Tamaulipas,Robalo; Captura; Tamaulipas ,SAGARPA,SAGARPA;CONAPeSCA,1,Robalo,,West Gulf of Mexico,Tamaulipas,2004,2013,10,Weight,Year,State,Robalo; Tamaulipas: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Atlantic,,,
223,Historic Catch of Robalo for Tabasco,Robalo; Captura; Tabasco ,SAGARPA,SAGARPA;CONAPeSCA,1,Robalo,,West Gulf of Mexico,Tabasco,2004,2013,10,Weight,Year,State,Robalo; Tabasco: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Atlantic,,,
224,Historic Catch of Robalo for nayarit,Robalo; Captura; nayarit ,SAGARPA,SAGARPA;CONAPeSCA,1,Robalo,,South Pacific,Nayarit,2004,2013,10,Weight,Year,State,Robalo; nayarit: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Pacific,,,
225,Historic Catch of Robalo for Campeche,Robalo; Captura; Campeche ,SAGARPA,SAGARPA;CONAPeSCA,1,Robalo,,Yucatan Peninsula,Campeche,2004,2013,10,Weight,Year,State,Robalo; Campeche: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Atlantic,,,
226,Historic Catch of Robalo for Jalisco,Robalo; Captura; Jalisco ,SAGARPA,SAGARPA;CONAPeSCA,1,Robalo,,South Pacific,Jalisco,2004,2013,10,Weight,Year,State,Robalo; Jalisco: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Pacific,,,
227,Historic Catch of Robalo for Veracruz,Robalo; Captura; Veracruz ,SAGARPA,SAGARPA;CONAPeSCA,1,Robalo,,West Gulf of Mexico,Veracruz,2004,2013,10,Weight,Year,State,Robalo; Veracruz: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Atlantic,,,
228,Historic Catch of Sardina for Quintana Roo,Sardina; Captura; Quintana Roo ,SAGARPA,SAGARPA;CONAPeSCA,1,Sardina,,Yucatan Peninsula,Quintana Roo,2004,2013,10,Weight,Year,State,Sardina; Quintana Roo: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Atlantic,,,
229,Historic Catch of Sardina for Other,Sardina; Captura; Campeche; Nayarit; Yucatan; Tabasco ,SAGARPA,SAGARPA;CONAPeSCA,1,Sardina,,,Multiple States,2004,2013,10,Weight,Year,State,Sardina; Otro Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,4,,,
230,Historic Catch of Sardina for Baja California,Sardina; Captura; BC ,SAGARPA,SAGARPA;CONAPeSCA,1,Sardina,,Gulf of California,Baja California,2004,2013,10,Weight,Year,State,Sardina; Baja California: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Pacific,,,
231,Historic Catch of Sardina for Jalisco,Sardina; Captura; Jalisco ,SAGARPA,SAGARPA;CONAPeSCA,1,Sardina,,South Pacific,Jalisco,2004,2013,10,Weight,Year,State,Sardina; Jalisco: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Pacific,,,
232,Historic Catch of Sardina for Baja California Sur,Sardina; Captura; BCS ,SAGARPA,SAGARPA;CONAPeSCA,1,Sardina,,Gulf of California,Baja California Sur,2004,2013,10,Weight,Year,State,Sardina; Baja California Sur: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Pacific,,,
233,Historic Catch of Sardina for Veracruz,Sardina; Captura; Veracruz ,SAGARPA,SAGARPA;CONAPeSCA,1,Sardina,,West Gulf of Mexico,Veracruz,2004,2013,10,Weight,Year,State,Sardina; Veracruz: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Atlantic,,,
234,Historic Catch of Sardina for Guerrero,Sardina; Captura; Guerrero ,SAGARPA,SAGARPA;CONAPeSCA,1,Sardina,,South Pacific,Guerrero,2004,2013,10,Weight,Year,State,Sardina; Guerrero: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Pacific,,,
235,Historic Catch of Sardina for Sonora,Sardina; Captura; Sonora ,SAGARPA,SAGARPA;CONAPeSCA,1,Sardina,,Gulf of California,Sonora,2004,2013,10,Weight,Year,State,Sardina; Sonora: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Pacific,,,
236,Historic Catch of Sardina for Colima,Sardina; Captura; Colima ,SAGARPA,SAGARPA;CONAPeSCA,1,Sardina,,South Pacific,Colima,2004,2013,10,Weight,Year,State,Sardina; Colima: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Pacific,,,
237,Historic Catch of Sierra for Campeche,Sierra; Captura; Campeche ,SAGARPA,SAGARPA;CONAPeSCA,1,Sierra,,Yucatan Peninsula,Campeche,2004,2013,10,Weight,Year,State,Sierra; Campeche: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Atlantic,,,
238,Historic Catch of Sierra for Veracruz,Sierra; Captura; Veracruz ,SAGARPA,SAGARPA;CONAPeSCA,1,Sierra,,West Gulf of Mexico,Veracruz,2004,2013,10,Weight,Year,State,Sierra; Veracruz: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Atlantic,,,
239,Historic Catch of Sierra for Sinaloa,Sierra; Captura; Sinaloa ,SAGARPA,SAGARPA;CONAPeSCA,1,Sierra,,Gulf of California,Sinaloa,2004,2013,10,Weight,Year,State,Sierra; Sinaloa: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Pacific,,,
240,Historic Catch of Sierra for Tamaulipas,Sierra; Captura; Tamaulipas ,SAGARPA,SAGARPA;CONAPeSCA,1,Sierra,,West Gulf of Mexico,Tamaulipas,2004,2013,10,Weight,Year,State,Sierra; Tamaulipas: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Atlantic,,,
241,Historic Catch of Sierra for Tabasco,Sierra; Captura; Tabasco ,SAGARPA,SAGARPA;CONAPeSCA,1,Sierra,,West Gulf of Mexico,Tabasco,2004,2013,10,Weight,Year,State,Sierra; Tabasco: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Atlantic,,,
242,Historic Catch of Sierra for nayarit,Sierra; Captura; nayarit ,SAGARPA,SAGARPA;CONAPeSCA,1,Sierra,,South Pacific,Nayarit,2004,2013,10,Weight,Year,State,Sierra; nayarit: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Pacific,,,
243,Historic Catch of Sierra for Other,Sierra; Captura; Chiapas;  Colima;  Guerrero;  Jalisco;  Michoacan;  Oaxaca;  Yucatan; Quintana Roo ,SAGARPA,SAGARPA;CONAPeSCA,1,Sierra,,,Multiple States,2004,2013,10,Weight,Year,State,Sierra; Otro Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,8,,,
244,Historic Catch of Sierra for Baja California,Sierra; Captura; BC ,SAGARPA,SAGARPA;CONAPeSCA,1,Sierra,,Gulf of California,Baja California,2004,2013,10,Weight,Year,State,Sierra; Baja California: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Pacific,,,
245,Historic Catch of Sierra for Baja California Sur,Sierra; Captura; BCS ,SAGARPA,SAGARPA;CONAPeSCA,1,Sierra,,Gulf of California,Baja California Sur,2004,2013,10,Weight,Year,State,Sierra; Baja California Sur: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Pacific,,,
246,Historic Catch of Sierra for Sonora,Sierra; Captura; Sonora ,SAGARPA,SAGARPA;CONAPeSCA,1,Sierra,,Gulf of California,Sonora,2004,2013,10,Weight,Year,State,Sierra; Sonora: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Pacific,,,
247,Historic Catch of Tiburon & Cazon for Oaxaca,Tiburon; Cazon; Captura; Oaxaca ,SAGARPA,SAGARPA;CONAPeSCA,1,Tiburon;Cazon,,Gulf of Tehantepec,Oaxaca,2004,2013,10,Weight,Year,State,Tiburon / Cazon; Oaxaca: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,Pacific,,,
248,Historic Catch of Tiburon & Cazon for Others,Tiburon; Cazon; Captura; Campeche;  Colima; Guerrero;  Jalisco;  Michoacan;  Quintana Roo;  Tabasco; Yucatan ,SAGARPA,SAGARPA;CONAPeSCA,1,Tiburon;Cazon,,,Multiple States,2004,2013,10,Weight,Year,State,Tiburon / Cazon; Otros Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,8,,,
