MMID,Short_Title,Keywords,Author,Institution,Dataset_Available,Subject_name,Area ,Region,Location,Start_Year,End_Year,Data_Time_Points,Unit_Type,Temporal_Resolution,Spatial_Resolution,Dataset_Title,Compilation_Title,Publication_Year,Reference,Available_Metadata,Metadata_name,User_Contact,Institution_Type,Research_Fund,Research_Field,SE_Interaction,Data_Uncertanty
137,Historic Catch of Jaiba for Campeche,Jaiba; Captura; Campeche ,SAGARPA,SAGARPA;CONAPESCA,1,Jaiba,Freshwater/Terrestrial,Freshwater/Terrestrial,Campeche,2004,2013,10,Weight,Year,State,Jaiba; Campeche: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
138,Historic Catch of Jaiba for Tamaulipas,Jaiba; Captura; Tamaulipas ,SAGARPA,SAGARPA;CONAPESCA,1,Jaiba,Atlantic,West Gulf of Mexico,Tamaulipas,2004,2013,10,Weight,Year,State,Jaiba; Tamaulipas: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
139,Historic Catch of Jaiba for Tabasco,Jaiba; Captura; Tabasco ,SAGARPA,SAGARPA;CONAPESCA,1,Jaiba,Atlantic,West Gulf of Mexico,Tabasco,2004,2013,10,Weight,Year,State,Jaiba; Tabasco: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
140,Historic Catch of Jaiba for Baja California Sur,Jaiba; Captura; BCS ,SAGARPA,SAGARPA;CONAPESCA,1,Jaiba,Pacific,Gulf of California,Baja California Sur,2004,2013,10,Weight,Year,State,Jaiba; Baja California Sur: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
141,Historic Catch of Jaiba for Chiapas,Jaiba; Captura; Chiapas ,SAGARPA,SAGARPA;CONAPESCA,1,Jaiba,Pacific,Gulf of Tehantepec,Chiapas,2004,2013,10,Weight,Year,State,Jaiba; Chiapas: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
142,Historic Catch of Jaiba for Oaxaca,Jaiba; Captura; Oaxaca ,SAGARPA,SAGARPA;CONAPESCA,1,Jaiba,Pacific,Gulf of Tehantepec,Oaxaca,2004,2013,10,Weight,Year,State,Jaiba; Oaxaca: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
143,Historic Catch of Jaiba for Others,Jaiba; Captura; Otros ,SAGARPA,SAGARPA;CONAPESCA,1,Jaiba,Freshwater/Terrestrial,Freshwater/Terrestrial,Others,2004,2013,10,Weight,Year,State,Jaiba; Otros Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
144,Historic Catch of Langosta for Baja California Sur,Langosta; Captura; BCS ,SAGARPA,SAGARPA;CONAPESCA,1,Langosta,Pacific,Gulf of California,Baja California Sur,2004,2013,10,Weight,Year,State,Langosta; Baja California Sur: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
145,Historic Catch of Langosta for Baja California,Langosta; Captura; BC ,SAGARPA,SAGARPA;CONAPESCA,1,Langosta,Pacific,Gulf of California,Baja California,2004,2013,10,Weight,Year,State,Langosta; Baja California: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
146,Historic Catch of Langosta for Quintana Roo,Langosta; Captura; Quintana Roo ,SAGARPA,SAGARPA;CONAPESCA,1,Langosta,Freshwater/Terrestrial,Freshwater/Terrestrial,Quintana Roo,2004,2013,10,Weight,Year,State,Langosta; Quintana Roo: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
147,Historic Catch of Langosta for Yucatan,Langosta; Captura; Yucatan ,SAGARPA,SAGARPA;CONAPESCA,1,Langosta,Atlantic,Yucatan Peninsula,Yucatan,2004,2013,10,Weight,Year,State,Langosta; Yucatan: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
148,Historic Catch of Langosta for Guerrero,Langosta; Captura; Guerrero ,SAGARPA,SAGARPA;CONAPESCA,1,Langosta,Pacific,South Pacific,Guerrero,2004,2013,10,Weight,Year,State,Langosta; Guerrero: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
149,Historic Catch of Langosta for Jalisco,Langosta; Captura; Jalisco ,SAGARPA,SAGARPA;CONAPESCA,1,Langosta,Pacific,South Pacific,Jalisco,2004,2013,10,Weight,Year,State,Langosta; Jalisco: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
150,Historic Catch of Langosta for Sinaloa,Langosta; Captura; Sinaloa ,SAGARPA,SAGARPA;CONAPESCA,1,Langosta,Pacific,Gulf of California,Sinaloa,2004,2013,10,Weight,Year,State,Langosta; Sinaloa: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
151,Historic Catch of Langosta for Michoacan,Langosta; Captura; Michoacan ,SAGARPA,SAGARPA;CONAPESCA,1,Langosta,Freshwater/Terrestrial,Freshwater/Terrestrial,Michoacan,2004,2013,10,Weight,Year,State,Langosta; Michoacan: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
152,Historic Catch of Langosta for nayarit,Langosta; Captura; nayarit ,SAGARPA,SAGARPA;CONAPESCA,1,Langosta,Pacific,South Pacific,nayarit,2004,2013,10,Weight,Year,State,Langosta; nayarit: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
153,Historic Catch of Langosta for Oaxaca,Langosta; Captura; Oaxaca ,SAGARPA,SAGARPA;CONAPESCA,1,Langosta,Pacific,Gulf of Tehantepec,Oaxaca,2004,2013,10,Weight,Year,State,Langosta; Oaxaca: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
154,Historic Catch of Langosta for Others,Langosta; Captura; Otros ,SAGARPA,SAGARPA;CONAPESCA,1,Langosta,Freshwater/Terrestrial,Freshwater/Terrestrial,Others,2004,2013,10,Weight,Year,State,Langosta; Otros Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
155,Historic Catch of Langostino for Veracruz,Langostino; Captura; Veracruz ,SAGARPA,SAGARPA;CONAPESCA,1,Langostino,Atlantic,West Gulf of Mexico,Veracruz,2004,2013,10,Weight,Year,State,Langostino; Veracruz: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
156,Historic Catch of Langostino for Campeche,Langostino; Captura; Campeche ,SAGARPA,SAGARPA;CONAPESCA,1,Langostino,Atlantic,Yucatan Peninsula,Campeche,2004,2013,10,Weight,Year,State,Langostino; Campeche: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
157,Historic Catch of Langostino for Tamaulipas,Langostino; Captura; Tamaulipas ,SAGARPA,SAGARPA;CONAPESCA,1,Langostino,Atlantic,West Gulf of Mexico,Tamaulipas,2004,2013,10,Weight,Year,State,Langostino; Tamaulipas: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
158,Historic Catch of Langostino for Tabasco,Langostino; Captura; Tabasco ,SAGARPA,SAGARPA;CONAPESCA,1,Langostino,Atlantic,West Gulf of Mexico,Tabasco,2004,2013,10,Weight,Year,State,Langostino; Tabasco: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
159,Historic Catch of Langostino for Guerrero,Langostino; Captura; Guerrero ,SAGARPA,SAGARPA;CONAPESCA,1,Langostino,Pacific,South Pacific,Guerrero,2004,2013,10,Weight,Year,State,Langostino; Guerrero: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
160,Historic Catch of Langostino for Jalisco,Langostino; Captura; Jalisco ,SAGARPA,SAGARPA;CONAPESCA,1,Langostino,Pacific,South Pacific,Jalisco,2004,2013,10,Weight,Year,State,Langostino; Jalisco: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
161,Historic Catch of Langostino for Michoacan,Langostino; Captura; Michoacan ,SAGARPA,SAGARPA;CONAPESCA,1,Langostino,Freshwater/Terrestrial,Freshwater/Terrestrial,Michoacan,2004,2013,10,Weight,Year,State,Langostino; Michoacan: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
162,Historic Catch of Langostino for nayarit,Langostino; Captura; nayarit ,SAGARPA,SAGARPA;CONAPESCA,1,Langostino,Pacific,South Pacific,nayarit,2004,2013,10,Weight,Year,State,Langostino; nayarit: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
163,Historic Catch of Langostino for Others,Langostino; Captura; Otros ,SAGARPA,SAGARPA;CONAPESCA,1,Langostino,Freshwater/Terrestrial,Freshwater/Terrestrial,Others,2004,2013,10,Weight,Year,State,Langostino; Otros Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
164,Historic Catch of Langostino for Colima,Langostino; Captura; Colima ,SAGARPA,SAGARPA;CONAPESCA,1,Langostino,Pacific,South Pacific,Colima,2004,2013,10,Weight,Year,State,Langostino; Colima: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
165,Historic Catch of Lisa for Baja California Sur,Lisa; Captura; BCS ,SAGARPA,SAGARPA;CONAPESCA,1,Lisa,Pacific,Gulf of California,Baja California Sur,2004,2013,10,Weight,Year,State,Lisa; Baja California Sur: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
166,Historic Catch of Lisa for Sinaloa,Lisa; Captura; Sinaloa ,SAGARPA,SAGARPA;CONAPESCA,1,Lisa,Pacific,Gulf of California,Sinaloa,2004,2013,10,Weight,Year,State,Lisa; Sinaloa: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
167,Historic Catch of Lisa for Oaxaca,Lisa; Captura; Oaxaca ,SAGARPA,SAGARPA;CONAPESCA,1,Lisa,Pacific,Gulf of Tehantepec,Oaxaca,2004,2013,10,Weight,Year,State,Lisa; Oaxaca: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
168,Historic Catch of Lisa for Others,Lisa; Captura; Otros ,SAGARPA,SAGARPA;CONAPESCA,1,Lisa,Freshwater/Terrestrial,Freshwater/Terrestrial,Others,2004,2013,10,Weight,Year,State,Lisa; Otros Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
169,Historic Catch of Lisa for Veracruz,Lisa; Captura; Veracruz ,SAGARPA,SAGARPA;CONAPESCA,1,Lisa,Atlantic,West Gulf of Mexico,Veracruz,2004,2013,10,Weight,Year,State,Lisa; Veracruz: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
170,Historic Catch of Lisa for Campeche,Lisa; Captura; Campeche ,SAGARPA,SAGARPA;CONAPESCA,1,Lisa,Atlantic,Yucatan Peninsula,Campeche,2004,2013,10,Weight,Year,State,Lisa; Campeche: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
171,Historic Catch of Lisa for Tamaulipas,Lisa; Captura; Tamaulipas ,SAGARPA,SAGARPA;CONAPESCA,1,Lisa,Atlantic,West Gulf of Mexico,Tamaulipas,2004,2013,10,Weight,Year,State,Lisa; Tamaulipas: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
172,Historic Catch of Lisa for Tabasco,Lisa; Captura; Tabasco ,SAGARPA,SAGARPA;CONAPESCA,1,Lisa,Atlantic,West Gulf of Mexico,Tabasco,2004,2013,10,Weight,Year,State,Lisa; Tabasco: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
173,Historic Catch of Lisa for Guerrero,Lisa; Captura; Guerrero ,SAGARPA,SAGARPA;CONAPESCA,1,Lisa,Pacific,South Pacific,Guerrero,2004,2013,10,Weight,Year,State,Lisa; Guerrero: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
174,Historic Catch of Lisa for nayarit,Lisa; Captura; nayarit ,SAGARPA,SAGARPA;CONAPESCA,1,Lisa,Pacific,South Pacific,nayarit,2004,2013,10,Weight,Year,State,Lisa; nayarit: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
175,Historic Catch of Mero for Quintana Roo,Mero; Captura; Quintana Roo ,SAGARPA,SAGARPA;CONAPESCA,1,Mero,Atlantic,Yucatan Peninsula,Quintana Roo,2004,2013,10,Weight,Year,State,Mero; Quintana Roo: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
176,Historic Catch of Mero for Yucatan,Mero; Captura; Yucatan ,SAGARPA,SAGARPA;CONAPESCA,1,Mero,Atlantic,Yucatan Peninsula,Yucatan,2004,2013,10,Weight,Year,State,Mero; Yucatan: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
177,Historic Catch of Mero for Veracruz,Mero; Captura; Veracruz ,SAGARPA,SAGARPA;CONAPESCA,1,Mero,Atlantic,West Gulf of Mexico,Veracruz,2004,2013,10,Weight,Year,State,Mero; Veracruz: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
178,Historic Catch of Mero for Campeche,Mero; Captura; Campeche ,SAGARPA,SAGARPA;CONAPESCA,1,Mero,Atlantic,Yucatan Peninsula,Campeche,2004,2013,10,Weight,Year,State,Mero; Campeche: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
179,Historic Catch of Mero for Tabasco,Mero; Captura; Tabasco ,SAGARPA,SAGARPA;CONAPESCA,1,Mero,Atlantic,West Gulf of Mexico,Tabasco,2004,2013,10,Weight,Year,State,Mero; Tabasco: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
180,Historic Catch of Mero for Michoacan,Mero; Captura; Michoacan ,SAGARPA,SAGARPA;CONAPESCA,1,Mero,Freshwater/Terrestrial,Freshwater/Terrestrial,Michoacan,2004,2013,10,Weight,Year,State,Mero; Michoacan: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
181,Historic Catch of Mero for Baja California Sur,Mero; Captura; BCS ,SAGARPA,SAGARPA;CONAPESCA,1,Mero,Pacific,Gulf of California,Baja California Sur,2004,2013,10,Weight,Year,State,Mero; Baja California Sur: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
182,Historic Catch of Mero for Tamaulipas,Mero; Captura; Tamaulipas ,SAGARPA,SAGARPA;CONAPESCA,1,Mero,Atlantic,West Gulf of Mexico,Tamaulipas,2004,2013,10,Weight,Year,State,Mero; Tamaulipas: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
183,Historic Catch of Mero for Other,Mero; Captura; Other ,SAGARPA,SAGARPA;CONAPESCA,1,Mero,Freshwater/Terrestrial,Freshwater/Terrestrial,Other,2004,2013,10,Weight,Year,State,Mero; Otro Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
184,Historic Catch of Mero for Chiapas,Mero; Captura; Chiapas ,SAGARPA,SAGARPA;CONAPESCA,1,Mero,Pacific,Gulf of Tehantepec,Chiapas,2004,2013,10,Weight,Year,State,Mero; Chiapas: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
185,Historic Catch of Mojarra for Jalisco,Mojarra; Captura; Jalisco ,SAGARPA,SAGARPA;CONAPESCA,1,Mojarra,Pacific,South Pacific,Jalisco,2004,2013,10,Weight,Year,State,Mojarra; Jalisco: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
186,Historic Catch of Mojarra for Michoacan,Mojarra; Captura; Michoacan ,SAGARPA,SAGARPA;CONAPESCA,1,Mojarra,Freshwater/Terrestrial,Freshwater/Terrestrial,Michoacan,2004,2013,10,Weight,Year,State,Mojarra; Michoacan: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
187,Historic Catch of Mojarra for nayarit,Mojarra; Captura; nayarit ,SAGARPA,SAGARPA;CONAPESCA,1,Mojarra,Pacific,South Pacific,nayarit,2004,2013,10,Weight,Year,State,Mojarra; nayarit: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
188,Historic Catch of Mojarra for Sinaloa,Mojarra; Captura; Sinaloa ,SAGARPA,SAGARPA;CONAPESCA,1,Mojarra,Pacific,Gulf of California,Sinaloa,2004,2013,10,Weight,Year,State,Mojarra; Sinaloa: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
