MMID,Short_Title,Keywords,Author,Institution,Dataset_Available,Subject_Name,Area ,Region,Location,Start_Year,End_Year,Data_Time_Points,Unit_Type,Temporal_Resolution,Spatial_Resolution,Dataset_Title,Compilation_Title,Publication_Year,Reference,Available_Metadata,Metadata_Name,User_Contact,Institution_Type,Research_Fund,Research_Field,SE_Interaction,Data_Uncertanty,,
57,Historic Catch for Nuevo Leon,Nuevo Leon;Catch,SAGARPA,SAGARPA;CONAPESCA,1,Total,Freshwater/Terrestrial,Freshwater/Terrestrial,Nuevo Leon,2004,2013,10,Weight,Year,State,Nuevo Leon: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
58,Historic Catch for Oaxaca,Oaxaca;Catch,SAGARPA,SAGARPA;CONAPESCA,1,Total,Pacific,Gulf of Tehantepec,Oaxaca,2004,2013,10,Weight,Year,State,Oaxaca: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
59,Historic Catch for Puebla,Puebla;Catch,SAGARPA,SAGARPA;CONAPESCA,1,Total,Freshwater/Terrestrial,Freshwater/Terrestrial,Puebla,2004,2013,10,Weight,Year,State,Puebla: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
60,Historic Catch for Queretaro,Queretaro;Catch,SAGARPA,SAGARPA;CONAPESCA,1,Total,Freshwater/Terrestrial,Freshwater/Terrestrial,Queretaro,2004,2013,10,Weight,Year,State,Queretaro: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
61,Historic Catch for Quintana Roo,Quintana Roo;Catch,SAGARPA,SAGARPA;CONAPESCA,1,Total,Atlantic,Yucatan Peninsula,Quintana Roo,2004,2013,10,Weight,Year,State,Quintana Roo: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
62,Historic Catch for San Luis Potosi,San Luis Potosi;Catch,SAGARPA,SAGARPA;CONAPESCA,1,Total,Freshwater/Terrestrial,Freshwater/Terrestrial,San Luis Potosi,2004,2013,10,Weight,Year,State,San Luis Potosi: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
63,Historic Catch for Sinaloa,Sinaloa;Catch,SAGARPA,SAGARPA;CONAPESCA,1,Total,Pacific,Gulf of California,Sinaloa,2004,2013,10,Weight,Year,State,Sinaloa: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
64,Historic Catch for Sonora,Sonora;Catch,SAGARPA,SAGARPA;CONAPESCA,1,Total,Pacific,Gulf of California,Sonora,2004,2013,10,Weight,Year,State,Sonora: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
65,Historic Catch for Tabasco,Tabasco;Catch,SAGARPA,SAGARPA;CONAPESCA,1,Total,Atlantic,West Gulf of Mexico,Tabasco,2004,2013,10,Weight,Year,State,Tabasco: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
66,Historic Catch for Tamaulipas,Tamaulipas;Catch,SAGARPA,SAGARPA;CONAPESCA,1,Total,Atlantic,West Gulf of Mexico,Tamaulipas,2004,2013,10,Weight,Year,State,Tamaulipas: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
67,Historic Catch for Tlaxcala,Tlaxcala;Catch,SAGARPA,SAGARPA;CONAPESCA,1,Total,Freshwater/Terrestrial,Freshwater/Terrestrial,Tlaxcala,2004,2013,10,Weight,Year,State,Tlaxcala: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
68,Historic Catch for Veracruz,Veracruz;Catch,SAGARPA,SAGARPA;CONAPESCA,1,Total,Atlantic,West Gulf of Mexico,Veracruz,2004,2013,10,Weight,Year,State,Veracruz: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
69,Historic Catch for Yucatan,Yucatan;Catch,SAGARPA,SAGARPA;CONAPESCA,1,Total,Atlantic,Yucatan Peninsula,Yucatan,2004,2013,10,Weight,Year,State,Yucatan: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
70,Historic Catch for Zacatecas,Zacatecas;Catch,SAGARPA,SAGARPA;CONAPESCA,1,Total,Freshwater/Terrestrial,Freshwater/Terrestrial,Zacatecas,2004,2013,10,Weight,Year,State,Zacatecas: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
71,Historic Catch of Abulon for Baja California Sur,Abulon;Catch;Baja California Sur,SAGARPA,SAGARPA;CONAPESCA,1,Abulon,Pacific,Gulf of California,Baja California,2004,2013,10,Weight,Year,State,"Abulon, Baja California Sur: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas)",Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
72,Historic Catch of Abulon for Baja California,Abulon;Catch;Baja California Sur,SAGARPA,SAGARPA;CONAPESCA,1,Abulon,Pacific,Gulf of California,Baja California,2004,2013,10,Weight,Year,State,"Abulon, Baja California: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas)",Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
73,Historic Catch of Almeja for Baja California Sur,Almeja;Catch;Baja California Sur,SAGARPA,SAGARPA;CONAPESCA,1,Almeja,Pacific,Gulf of California,Baja California,2004,2013,10,Weight,Year,State,"Almeja, Baja California Sur: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas)",Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
74,Historic Catch of Almeja for Baja California,Almeja;Catch;Baja California Sur,SAGARPA,SAGARPA;CONAPESCA,1,Almeja,Pacific,Gulf of California,Baja California,2004,2013,10,Weight,Year,State,"Almeja, Baja California: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas)",Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
75,Historic Catch of Almeja for Veracruz,Almeja;Catch;Veracruz ,SAGARPA,SAGARPA;CONAPESCA,1,Almeja,Atlantic,West Gulf of Mexico,Veracruz,2004,2013,10,Weight,Year,State,"Almeja, Veracruz: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas)",Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
76,Historic Catch of Almeja for Sinaloa,Almeja;Catch;Sinaloa ,SAGARPA,SAGARPA;CONAPESCA,1,Almeja,Pacific,Gulf of California,Sinaloa,2004,2013,10,Weight,Year,State,"Almeja, Sinaloa: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas)",Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
77,Historic Catch of Almeja for Sonora,Almeja;Catch;Sonora ,SAGARPA,SAGARPA;CONAPESCA,1,Almeja,Pacific,Gulf of California,Sonora,2004,2013,10,Weight,Year,State,"Almeja, Sonora: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas)",Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
78,Historic Catch of Almeja for Nayarit,Almeja;Catch;Nayarit ,SAGARPA,SAGARPA;CONAPESCA,1,Almeja,Pacific,South Pacific,Nayarit,2004,2013,10,Weight,Year,State,"Almeja, Nayarit: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas)",Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
79,Historic Catch of Almeja for Guerrero,Almeja;Catch;Guerrero ,SAGARPA,SAGARPA;CONAPESCA,1,Almeja,Pacific,South Pacific,Guerrero,2004,2013,10,Weight,Year,State,"Almeja, Guerrero: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas)",Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
80,Historic Catch of Almeja for Oaxaca,Almeja;Catch;Oaxaca ,SAGARPA,SAGARPA;CONAPESCA,1,Almeja,Pacific,Gulf of California,Oaxaca,2004,2013,10,Weight,Year,State,"Almeja, Oaxaca: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas)",Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
81,Historic Catch of Almeja for Tabasco,Almeja;Catch;Tabasco ,SAGARPA,SAGARPA;CONAPESCA,1,Almeja,Atlantic,West Gulf of Mexico,Tabasco,2004,2013,10,Weight,Year,State,"Almeja, Tabasco: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas)",Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
82,Historic Catch of Almeja for Michoacan y Tamaulipas,Almeja;Catch;Michoacan;Tamaulipas,SAGARPA,SAGARPA;CONAPESCA,1,Almeja,,,Michoacan;Tamaulipas,2004,2013,10,Weight,Year,Region,"Almeja, Otras: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas)",Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
83,Historic Catch of Tunidos for Tabasco,Tunidos;Catch;Tabasco ,SAGARPA,SAGARPA;CONAPESCA,1,Tunidos,Atlantic,West Gulf of Mexico,Tabasco,2004,2013,10,Weight,Year,State,"Tunidos, Tabasco: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas)",Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
84,Historic Catch of Tunidos for Sinaloa,Tunidos;Catch;Sinaloa ,SAGARPA,SAGARPA;CONAPESCA,1,Tunidos,Pacific,Gulf of California,Sinaloa,2004,2013,10,Weight,Year,State,"Tunidos, Sinaloa: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas)",Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
85,Historic Catch of Tunidos for Colima,Tunidos;Catch;Colima ,SAGARPA,SAGARPA;CONAPESCA,1,Tunidos,Pacific,South Pacific,Colima,2004,2013,10,Weight,Year,State,"Tunidos, Colima: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas)",Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
86,Historic Catch of Tunidos for Chiapas,Tunidos;Catch;Chiapas ,SAGARPA,SAGARPA;CONAPESCA,1,Tunidos,Pacific,Gulf of California,Chiapas,2004,2013,10,Weight,Year,State,"Tunidos, Chiapas: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas)",Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
87,Historic Catch of Tunidos for Baja California,Tunidos;Catch;Baja California ,SAGARPA,SAGARPA;CONAPESCA,1,Tunidos,Pacific,Gulf of California,Baja California,2004,2013,10,Weight,Year,State,"Tunidos, Baja California: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas)",Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
88,Historic Catch of Tunidos for Baja California Sur,Tunidos;Catch;Baja California Sur ,SAGARPA,SAGARPA;CONAPESCA,1,Tunidos,Pacific,Gulf of California,Baja California Sur,2004,2013,10,Weight,Year,State,"Tunidos, Baja California Sur: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas)",Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
89,Historic Catch of Tunidos for Veracruz,Tunidos;Catch;Veracruz ,SAGARPA,SAGARPA;CONAPESCA,1,Tunidos,Atlantic,West Gulf of Mexico,Veracruz,2004,2013,10,Weight,Year,State,"Tunidos, Veracruz: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas)",Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
90,Historic Catch of Tunidos for Oaxaca,Tunidos;Catch;Oaxaca ,SAGARPA,SAGARPA;CONAPESCA,1,Tunidos,Pacific,Gulf of California,Oaxaca,2004,2013,10,Weight,Year,State,"Tunidos, Oaxaca: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas)",Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
91,Historic Catch of Tunidos for Jalisco,Tunidos;Catch;Jalisco ,SAGARPA,SAGARPA;CONAPESCA,1,Tunidos,Pacific,South Pacific,Jalisco,2004,2013,10,Weight,Year,State,"Tunidos, Jalisco: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas)",Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
92,Historic Catch of Tunidos for Others,Tunidos;Catch;Other States,SAGARPA,SAGARPA;CONAPESCA,1,Tunidos,NA,NA,NA,2004,2013,10,Weight,Year,NA,"Tunidos, Otras Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas)",Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
93,Historic Catch of Calamar for Baja California,Calamar;Catch;Baja California ,SAGARPA,SAGARPA;CONAPESCA,1,Calamar,Pacific,Gulf of California,Baja California,2004,2013,10,Weight,Year,State,"Calamar, Baja California: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas)",Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
94,Historic Catch of Calamar for Baja California Sur,Calamar;Catch;Baja California Sur ,SAGARPA,SAGARPA;CONAPESCA,1,Calamar,Pacific,Gulf of California,Baja California Sur,2004,2013,10,Weight,Year,State,"Calamar, Baja California Sur: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas)",Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
95,Historic Catch of Calamar for Sinaloa,Calamar;Catch;Sinaloa ,SAGARPA,SAGARPA;CONAPESCA,1,Calamar,Pacific,Gulf of California,Sinaloa,2004,2013,10,Weight,Year,State,"Calamar, Sinaloa: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas)",Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
96,Historic Catch of Calamar for Sonora,Calamar;Catch;Sonora ,SAGARPA,SAGARPA;CONAPESCA,1,Calamar,Pacific,Gulf of California,Sonora,2004,2013,10,Weight,Year,State,"Calamar, Sonora: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas)",Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
97,Historic Catch of Calamar for Guerrero,Calamar;Catch;Guerrero ,SAGARPA,SAGARPA;CONAPESCA,1,Calamar,Pacific,South Pacific,Guerrero,2004,2013,10,Weight,Year,State,"Calamar, Guerrero: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas)",Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
98,Historic Catch of Calamar for Tamaulipas,Calamar;Catch;Tamaulipas ,SAGARPA,SAGARPA;CONAPESCA,1,Calamar,Atlantic,West Gulf of Mexico,Tamaulipas,2004,2013,10,Weight,Year,State,"Calamar, Tamaulipas: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas)",Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
99,Historic Catch of Calamar for Veracruz,Calamar;Catch;Veracruz ,SAGARPA,SAGARPA;CONAPESCA,1,Calamar,Atlantic,West Gulf of Mexico,Veracruz,2004,2013,10,Weight,Year,State,"Calamar, Veracruz: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas)",Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
100,Historic Catch of Calamar for Others,Calamar;Catch;Others ,SAGARPA,SAGARPA;CONAPESCA,1,Calamar,Pacific,Gulf of California,Others,2004,2013,10,Weight,Year,State,"Calamar, Otras Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas)",Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
101,Historic Catch of Camaron for Sinaloa,Camaron;Catch;Sinaloa ,SAGARPA,SAGARPA;CONAPESCA,1,Camaron,Pacific,Gulf of California,Sinaloa,2004,2013,10,Weight,Year,State,"Camaron, Sinaloa: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas)",Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
102,Historic Catch of Camaron for Sonora,Camaron;Catch;Sonora ,SAGARPA,SAGARPA;CONAPESCA,1,Camaron,Pacific,Gulf of California,Sonora,2004,2013,10,Weight,Year,State,"Camaron, Sonora: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas)",Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
103,Historic Catch of Camaron for Tmaulipas,Camaron;Catch;Tmaulipas ,SAGARPA,SAGARPA;CONAPESCA,1,Camaron,Pacific,Gulf of California,Tamaulipas,2004,2013,10,Weight,Year,State,"Camaron, Tmaulipas: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas)",Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
104,Historic Catch of Camaron for Nayarit,Camaron;Catch;Nayarit ,SAGARPA,SAGARPA;CONAPESCA,1,Camaron,Pacific,South Pacific,Nayarit,2004,2013,10,Weight,Year,State,"Camaron, Nayarit: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas)",Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
105,Historic Catch of Camaron for Baja California Sur,Camaron;Catch;Baja California Sur ,SAGARPA,SAGARPA;CONAPESCA,1,Camaron,Pacific,Gulf of California,Baja California Sur,2004,2013,10,Weight,Year,State,"Camaron, Baja California Sur: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas)",Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
106,Historic Catch of Camaron for Campeche,Camaron;Catch;Campeche ,SAGARPA,SAGARPA;CONAPESCA,1,Camaron,Pacific,Gulf of California,Campeche,2004,2013,10,Weight,Year,State,"Camaron, Campeche: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas)",Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
107,Historic Catch of Camaron for Chiapas,Camaron;Catch;Chiapas ,SAGARPA,SAGARPA;CONAPESCA,1,Camaron,Pacific,Gulf of California,Chiapas,2004,2013,10,Weight,Year,State,"Camaron, Chiapas: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas)",Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
108,Historic Catch of Camaron for Oaxaca,Camaron;Catch;Oaxaca ,SAGARPA,SAGARPA;CONAPESCA,1,Camaron,Pacific,Gulf of California,Oaxaca,2004,2013,10,Weight,Year,State,"Camaron, Oaxaca: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas)",Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
